T,S,Score
999,0.0,1.2281245349004826
1009,0.0,1.2691973690669478
1019,0.0,1.1188190010353842
1029,0.0,1.0753200643641851
1039,0.0,1.1271549232458125
1049,0.0,1.1965076605280824
1059,0.0,1.3282803185604095
1069,0.0,1.2739983551561849
1079,0.0,1.3060363951103047
1089,0.0,1.1674207983695726
1099,0.0,1.2042549219976615
1109,0.0,1.1954850405547972
1119,0.0,1.1414462953707658
1129,0.0,1.1239103804735733
1139,0.0,1.2739219433750806
1149,0.0,1.3090748512098398
1159,0.0,1.251964403139855
1169,0.0,1.2273432663091242
1179,0.0,1.1333078051462635
1189,0.0,1.1991039928139755
1199,0.0,1.2603122022898707
1209,0.0,1.2536438939642236
1219,0.0,1.3050745009490499
1229,0.0,1.2347610206915753
1239,0.0,1.2249554035790238
1249,0.0,1.3493085124317765
1259,0.0,1.3234766642514812
1269,0.0,1.3651189827669499
1279,0.0,1.2734607472203068
1289,0.0,1.1407502529498275
1299,0.0,1.287691907241623
1309,0.0,1.2704683713380909
1319,0.0,1.3365786090268172
1329,0.0,1.209432840883111
1339,0.0,1.3956523501719231
1349,0.0,1.3454252452656652
1359,0.0,1.3778737689561453
1369,0.0,1.4330150807069986
1379,0.0,1.2984092567163197
1389,0.0,1.4363987968001588
1399,0.0,1.2627052017097236
1409,0.0,1.1869385396188017
1419,0.0,1.1291438838174583
1429,0.0,1.2898920367104572
1439,0.0,1.078921219848172
1449,0.0,1.2573320004633317
1459,0.0,1.1599899210637643
1469,0.0,1.3448872809915804
1479,0.0,1.1790780206291225
1489,0.0,1.1763700103540733
1499,0.0,1.346360766019622
1509,0.0,1.3338504938129194
1519,0.0,1.251533558822529
1529,0.0,1.1816853397320852
1539,0.0,1.317778535026917
1549,0.0,1.3368864259800075
1559,0.0,1.4572859405393572
1569,0.0,1.2772012094877685
1579,0.0,1.3073306735883847
1589,0.0,1.2700173124545455
1599,0.0,1.3397420349916598
1609,0.0,1.3594721043508797
1619,0.0,1.433303640358717
1629,0.0,1.2979635068395243
1639,0.0,1.3666389173632543
1649,0.0,1.5741067434807634
1659,0.0,1.5421379165821818
1669,0.0,1.2131947576161901
1679,0.0,1.4076988035827902
1689,0.0,1.4012841300930194
1699,0.0,1.485504004522373
1709,0.0,1.486770926327803
1719,0.0,1.491486020850219
1729,0.0,1.3233750396456057
1739,0.0,1.2364576566831191
1749,0.0,1.1878285530533066
1759,0.0,1.3004552741346251
1769,0.0,1.2902687633871641
1779,0.0,1.172079032093025
1789,0.0,1.2168745574692437
1799,0.0,1.0556184902019896
1809,0.0,1.257267473209991
1819,0.0,1.2072210048164616
1829,0.0,1.2277651133376146
1839,0.0,1.1721290865362297
1849,0.0,1.1781369096508536
1859,0.0,1.1323035016521465
1869,0.0,1.204806138731702
1879,0.0,1.1776380045410488
1889,0.0,1.2325501256308777
1899,0.0,1.1970074145961818
1909,0.0,1.1604384334629632
1919,0.0,1.2140816776038315
1929,0.0,1.0788385990819647
1939,0.0,1.2119594968631204
1949,0.0,1.2226808234419793
1959,0.0,1.2463026096900203
1969,0.0,1.0415904227122517
1979,0.0,1.1443387034061323
1989,0.0,1.195085631527507
1999,0.0,1.1422835617941298
2009,1.0,1.1854725748570072
2019,1.0,1.1650243646860163
2029,1.0,1.2794930677742244
2039,1.0,1.1722618827976587
2049,1.0,1.3226274431306415
2059,1.0,1.388933051959989
2069,1.0,1.3579355402822142
2079,1.0,1.3938689003819125
2089,1.0,1.5143439193265478
2099,1.0,1.6196417536355026
2109,1.0,1.7996672173344985
2119,1.0,1.9186741678541372
2129,1.0,2.018598684779045
2139,1.0,2.073917400865814
2149,1.0,2.196967640534065
2159,1.0,2.1916556174858677
2169,1.0,2.0869044314780965
2179,1.0,2.2860762919634836
2189,1.0,2.3158389917450655
2199,1.0,2.342012158126006
2209,1.0,2.3703930605213017
2219,1.0,2.5815151662190985
2229,1.0,2.6670538945758873
2239,1.0,2.8180744209895505
2249,1.0,3.1350158826831995
2259,1.0,2.861488206376241
2269,1.0,3.154219554606345
2279,1.0,3.262091117217471
2289,1.0,3.3926604551852564
2299,1.0,3.595126210828946
2309,1.0,3.5991679541331814
2319,1.0,3.7685966156892468
2329,1.0,3.998635966608692
2339,1.0,4.121221372583477
2349,1.0,4.1411176997796115
2359,1.0,4.40889314415047
2369,1.0,4.45335357725415
2379,1.0,4.674264889507366
2389,1.0,4.729808087644679
2399,1.0,4.856762459837844
2409,1.0,4.910840494108998
2419,1.0,5.066324206562966
2429,1.0,5.1753127307357225
2439,1.0,5.147930191943958
2449,1.0,5.319575219991975
2459,1.0,5.387351705844781
2469,1.0,5.472333156158421
2479,1.0,5.413859671543211
2489,1.0,5.73944774493226
2499,1.0,5.83266458732725
2509,1.0,5.652361327055418
2519,1.0,5.6881112038338415
2529,1.0,5.291094219493825
2539,1.0,5.240389155828688
2549,1.0,5.077518613352928
2559,1.0,4.875541023124102
2569,1.0,4.937413728845264
2579,1.0,4.7971017764284944
2589,1.0,4.399916991867794
