T,S,Score
999,0.0,-0.24811023
1009,0.0,-0.1862933
1019,0.0,-0.12581092
1029,0.0,-0.24314106
1039,0.0,-0.18491417
1049,0.0,-0.23098397
1059,0.0,-0.17714357
1069,0.0,-0.18017036
1079,0.0,-0.114352345
1089,0.0,-0.1969685
1099,0.0,-0.03622806
1109,0.0,-0.347883
1119,0.0,0.022634506
1129,0.0,0.08306587
1139,0.0,0.2254619
1149,0.0,-0.088790715
1159,0.0,0.027097821
1169,0.0,-0.029239178
1179,0.0,-0.10546529
1189,0.0,-0.051024735
1199,0.0,-0.14033699
1209,0.0,-0.28995878
1219,0.0,-0.050281882
1229,0.0,-0.052818418
1239,0.0,0.045552313
1249,0.0,-0.013741553
1259,0.0,-0.032800794
1269,0.0,0.06737262
1279,0.0,0.06853676
1289,0.0,0.08017844
1299,0.0,0.1552611
1309,0.0,0.027326584
1319,0.0,-0.036121905
1329,0.0,0.115144014
1339,0.0,0.063253045
1349,0.0,-0.22312659
1359,0.0,-0.01733172
1369,0.0,-0.09573138
1379,0.0,-0.23571491
1389,0.0,-0.2239179
1399,0.0,-0.06256068
1409,0.0,0.17671776
1419,0.0,0.05297488
1429,0.0,-0.09129608
1439,0.0,0.118822575
1449,0.0,0.092965364
1459,0.0,-0.13533998
1469,0.0,-0.1364907
1479,0.0,-0.054375827
1489,0.0,-0.1624121
1499,0.0,-0.05153668
1509,0.0,-0.012647748
1519,0.0,-0.27522856
1529,0.0,-0.18061024
1539,0.0,0.1110875
1549,0.0,0.052150488
1559,0.0,-0.08064127
1569,0.0,0.030879557
1579,0.0,-0.083298385
1589,0.0,-0.019448578
1599,0.0,-0.10795969
1609,0.0,-0.25036556
1619,0.0,-0.014998794
1629,0.0,-0.16272557
1639,0.0,-0.13722456
1649,0.0,-0.19210541
1659,0.0,-0.2155124
1669,0.0,-0.10446656
1679,0.0,-0.16261178
1689,0.0,-0.32650727
1699,0.0,-0.2322976
1709,0.0,-0.32843715
1719,0.0,-0.14609581
1729,0.0,-0.17773497
1739,0.0,-0.20230788
1749,0.0,-0.4219193
1759,0.0,-0.115691364
1769,0.0,-0.09814739
1779,0.0,-0.1520626
1789,0.0,-0.118037164
1799,0.0,-0.1388098
1809,0.0,-0.12843096
1819,0.0,-0.18232691
1829,0.0,-0.31166464
1839,0.0,-0.0839569
1849,0.0,-0.3290347
1859,0.0,-0.2538054
1869,0.0,-0.090489686
1879,0.0,-0.37963355
1889,0.0,-0.1320669
1899,0.0,-0.306508
1909,0.0,-0.057533503
1919,0.0,0.085093915
1929,0.0,-0.039903224
1939,0.0,0.11060929
1949,0.0,-0.016257048
1959,0.0,0.11338556
1969,0.0,-0.050323486
1979,0.0,0.03345406
1989,0.0,-0.10081214
1999,0.0,0.03370893
2009,1.0,-0.018600881
2019,1.0,-0.042665303
2029,1.0,-0.12106079
2039,1.0,-0.022911668
2049,1.0,0.109822035
2059,1.0,0.17641467
2069,1.0,0.17524868
2079,1.0,0.1820305
2089,1.0,0.18554753
2099,1.0,-0.07917374
2109,1.0,-0.028625846
2119,1.0,-0.08710593
2129,1.0,-0.09620988
2139,1.0,-0.18970138
2149,1.0,-0.06778604
2159,1.0,-0.021998644
2169,1.0,0.029133797
2179,1.0,0.027960598
2189,1.0,-0.04199165
2199,1.0,-0.08182764
2209,1.0,0.060934544
2219,1.0,-0.027743995
2229,1.0,0.089984775
2239,1.0,-0.030631065
2249,1.0,-0.043080747
2259,1.0,0.096132815
2269,1.0,0.096255064
2279,1.0,0.108716905
2289,1.0,0.20241404
2299,1.0,0.10690808
2309,1.0,0.23426479
2319,1.0,0.31747854
2329,1.0,0.26104563
2339,1.0,0.24814296
2349,1.0,0.44368416
2359,1.0,0.55529875
2369,1.0,0.55179954
2379,1.0,0.62681824
2389,1.0,0.5550371
2399,1.0,0.6276541
2409,1.0,0.66528815
2419,1.0,0.57690865
2429,1.0,0.5773177
2439,1.0,0.6592102
2449,1.0,0.71036905
2459,1.0,0.79082876
2469,1.0,0.66657573
2479,1.0,1.1650143
2489,1.0,0.9733361
2499,1.0,1.0263779
2509,1.0,1.0350087
2519,1.0,1.0665858
2529,1.0,1.0558616
2539,1.0,1.068361
2549,1.0,1.3878348
2559,1.0,1.3405244
2569,1.0,1.3059955
2579,1.0,1.2813497
2589,1.0,1.4375595
2599,1.0,1.1878526
2609,1.0,1.2653629
2619,1.0,1.1378431
2629,1.0,1.1625879
2639,1.0,0.8438818
2649,1.0,0.8419973
2659,1.0,0.6567577
2669,1.0,0.6097485
2679,1.0,0.49905682
2689,1.0,0.2728156
2699,1.0,0.39782935
2709,1.0,0.67423195
2719,1.0,0.57241505
2729,1.0,0.7895625
