T,S,Score
999,0.0,-0.32209963
1009,0.0,-0.172602
1019,0.0,-0.29940057
1029,0.0,-0.12658614
1039,0.0,-0.13494694
1049,0.0,-0.10472089
1059,0.0,-0.03174156
1069,0.0,-0.11178768
1079,0.0,-0.15145123
1089,0.0,-0.0889613
1099,0.0,-0.13963926
1109,0.0,-0.15591192
1119,0.0,-0.09586233
1129,0.0,-0.08863276
1139,0.0,0.0054974556
1149,0.0,0.03592807
1159,0.0,-0.088596106
1169,0.0,-0.03831595
1179,0.0,-0.010712504
1189,0.0,0.012028754
1199,0.0,-0.020976126
1209,0.0,-0.039594114
1219,0.0,0.107648134
1229,0.0,0.04491949
1239,0.0,0.19278318
1249,0.0,0.07940841
1259,0.0,0.17366743
1269,0.0,0.018181682
1279,0.0,0.0062998533
1289,0.0,-0.053299844
1299,0.0,0.14764386
1309,0.0,0.07074547
1319,0.0,0.006060362
1329,0.0,-0.05927807
1339,0.0,-0.080206335
1349,0.0,0.050175726
1359,0.0,0.03850454
1369,0.0,-0.0018467903
1379,0.0,-0.088293016
1389,0.0,-0.11120373
1399,0.0,-0.07962924
1409,0.0,-0.1294145
1419,0.0,-0.10415852
1429,0.0,-0.119885266
1439,0.0,0.014292061
1449,0.0,-0.07547873
1459,0.0,-0.06712073
1469,0.0,-0.11989772
1479,0.0,-0.012988508
1489,0.0,0.08228016
1499,0.0,0.17277735
1509,0.0,0.10200769
1519,0.0,-0.06675798
1529,0.0,0.08788335
1539,0.0,-0.051906288
1549,0.0,-0.08180338
1559,0.0,-0.02997619
1569,0.0,0.107868195
1579,0.0,-0.11288184
1589,0.0,-0.11715388
1599,0.0,-0.1273548
1609,0.0,-0.111935675
1619,0.0,-0.07396251
1629,0.0,0.013257444
1639,0.0,-0.06196314
1649,0.0,-0.053795576
1659,0.0,-0.10069311
1669,0.0,-0.21853602
1679,0.0,-0.039455414
1689,0.0,-0.042657495
1699,0.0,-0.17793453
1709,0.0,-0.039892673
1719,0.0,0.009894252
1729,0.0,-0.13518125
1739,0.0,-0.13126653
1749,0.0,-0.14727789
1759,0.0,0.016914546
1769,0.0,-0.043088913
1779,0.0,-0.10536361
1789,0.0,-0.18544346
1799,0.0,-0.16050422
1809,0.0,-0.13646746
1819,0.0,-0.12800634
1829,0.0,-0.16383731
1839,0.0,-0.17952299
1849,0.0,-0.13295686
1859,0.0,-0.15720451
1869,0.0,-0.2274304
1879,0.0,-0.1747551
1889,0.0,-0.06969392
1899,0.0,-0.06869793
1909,0.0,-0.22141176
1919,0.0,-0.112068
1929,0.0,-0.19056916
1939,0.0,-0.23969102
1949,0.0,-0.12845463
1959,0.0,-0.05981338
1969,0.0,-0.15681994
1979,0.0,-0.07350695
1989,0.0,-0.21005547
1999,0.0,-0.12475854
2009,1.0,-0.15845793
2019,1.0,-0.052788973
2029,1.0,-0.02620691
2039,1.0,0.18767703
2049,1.0,-0.2084021
2059,1.0,-0.002037406
2069,1.0,0.10886645
2079,1.0,0.13436788
2089,1.0,0.23704565
2099,1.0,0.15510553
2109,1.0,0.2683398
2119,1.0,-0.004542947
2129,1.0,0.2795614
2139,1.0,0.33940864
2149,1.0,0.41226238
2159,1.0,0.8983094
2169,1.0,0.48193043
2179,1.0,0.93177724
2189,1.0,0.9350843
2199,1.0,1.3171545
2209,1.0,0.92058814
2219,1.0,1.364929
2229,1.0,1.4106758
2239,1.0,1.4677775
2249,1.0,1.1737292
2259,1.0,1.7586614
2269,1.0,1.9314349
2279,1.0,2.1498718
2289,1.0,1.8461883
2299,1.0,2.4482117
2309,1.0,2.5693831
2319,1.0,2.8067348
2329,1.0,3.172173
2339,1.0,3.0604765
2349,1.0,3.9552586
2359,1.0,3.8982816
2369,1.0,4.3077126
2379,1.0,4.9547567
2389,1.0,5.060958
2399,1.0,4.7198586
2409,1.0,4.725453
2419,1.0,4.8003254
2429,1.0,5.7473793
2439,1.0,5.6086626
2449,1.0,5.5124965
2459,1.0,6.203701
2469,1.0,6.5663323
2479,1.0,7.8875227
2489,1.0,7.242935
2499,1.0,8.991869
2509,1.0,8.65496
2519,1.0,7.565912
2529,1.0,7.5094447
2539,1.0,7.7020435
2549,1.0,5.6611233
2559,1.0,5.986453
2569,1.0,5.898769
2579,1.0,4.8243275
2589,1.0,4.84758
2599,1.0,4.9056
2609,1.0,3.7940657
2619,1.0,3.8527498
2629,1.0,3.1390383
2639,1.0,3.3776946
2649,1.0,3.2412477
2659,1.0,2.9557014
2669,1.0,2.9986813
2679,1.0,2.8118916
2689,1.0,2.4735627
2699,1.0,2.6337497
2709,1.0,2.125482
2719,1.0,2.198984
2729,1.0,1.7812989
2739,1.0,1.7340708
2749,1.0,1.8263285
2759,1.0,1.3578701
2769,1.0,1.7135713
2779,1.0,1.5480332
2789,1.0,1.262485
2799,1.0,0.99844116
2809,1.0,1.034421
2819,1.0,1.0811387
2829,1.0,1.0348635
2839,1.0,0.83031505
2849,1.0,0.6788998
2859,1.0,0.58856016
2869,1.0,0.7138982
2879,1.0,0.64455694
2889,1.0,0.33154517
2899,1.0,0.14653915
2909,1.0,0.18203193
2919,1.0,0.20727515
2929,1.0,0.04090953
2939,1.0,0.11352414
2949,1.0,0.07725042
2959,1.0,0.12325549
2969,1.0,0.03452134
2979,1.0,-0.016194463
2989,1.0,0.06783211
2999,1.0,0.0012719631
3009,0.0,-0.07834917
3019,0.0,0.05738479
3029,0.0,0.1308757
3039,0.0,0.09896129
3049,0.0,0.17226279
3059,0.0,-0.024927497
3069,0.0,-0.00834316
3079,0.0,0.112671256
3089,0.0,0.00396204
3099,0.0,-0.31881613
3109,0.0,-0.033957124
3119,0.0,-0.1658501
3129,0.0,-0.09330112
3139,0.0,0.07392305
3149,0.0,-0.032805502
3159,0.0,0.032648027
3169,0.0,0.03350067
3179,0.0,0.06260711
3189,0.0,0.034027398
3199,0.0,0.07515663
3209,0.0,-0.06391704
3219,0.0,0.11133981
3229,0.0,0.028732419
3239,0.0,0.29195714
3249,0.0,-0.20519274
3259,0.0,0.14815432
3269,0.0,0.029828608
3279,0.0,0.20668536
3289,0.0,0.06605154
3299,0.0,-0.11557114
3309,0.0,-0.013597488
3319,0.0,0.04081738
3329,0.0,-0.0700559
3339,0.0,0.0421564
3349,0.0,0.050894678
3359,0.0,0.06291443
3369,0.0,0.16543788
3379,0.0,-0.13279098
3389,0.0,-0.05776483
3399,0.0,-0.09634882
3409,0.0,-0.14719427
3419,0.0,0.14758164
3429,0.0,-0.05266857
3439,0.0,-0.130638
3449,0.0,0.09885508
3459,0.0,0.13311976
3469,0.0,0.19336534
3479,0.0,0.32895666
3489,0.0,0.16251856
3499,0.0,0.09743571
3509,0.0,0.08415353
3519,0.0,0.24253774
3529,0.0,0.16056788
3539,0.0,0.18366164
3549,0.0,0.17143667
3559,0.0,0.13548702
3569,0.0,0.23451918
3579,0.0,0.04939121
3589,0.0,-0.06867409
3599,0.0,0.063812256
3609,0.0,-0.024192512
3619,0.0,-0.009384394
3629,0.0,-0.0026348233
3639,0.0,-0.01715827
3649,0.0,-0.14976102
3659,0.0,-0.13308376
3669,0.0,0.048398316
3679,0.0,-0.023358464
3689,0.0,-0.023634553
3699,0.0,-0.000392735
3709,0.0,-0.00015860796
3719,0.0,-0.22296971
3729,0.0,-0.10171646
3739,0.0,0.008910298
3749,0.0,-0.24078739
3759,0.0,-0.09414852
3769,0.0,-0.020605266
3779,0.0,-0.1002022
3789,0.0,-0.09493947
3799,0.0,-0.13936198
3809,0.0,-0.18576425
3819,0.0,-0.18994737
3829,0.0,-0.14876199
3839,0.0,-0.07125133
3849,0.0,-0.109684885
3859,0.0,-0.11634773
3869,0.0,-0.16983503
3879,0.0,0.052963495
3889,0.0,-0.070547044
3899,0.0,-0.0885548
3909,0.0,-0.0806039
3919,0.0,-0.06640595
3929,0.0,0.087563455
3939,0.0,-0.094123185
3949,0.0,0.042359293
3959,0.0,0.039307237
3969,0.0,-0.020236433
3979,0.0,-0.02657181
3989,0.0,0.114207685
3999,0.0,0.09135544
4009,1.0,0.2457496
4019,1.0,0.059144735
4029,1.0,0.100747526
4039,1.0,0.018435717
4049,1.0,0.0076734424
4059,1.0,0.08327466
4069,1.0,0.15750295
4079,1.0,0.06572902
4089,1.0,0.06050819
4099,1.0,0.32579446
4109,1.0,0.3374027
4119,1.0,0.45351458
4129,1.0,0.18487072
4139,1.0,0.54309285
4149,1.0,0.6213238
4159,1.0,0.9347618
4169,1.0,1.0270252
4179,1.0,0.7729039
4189,1.0,1.1110446
4199,1.0,1.7726128
4209,1.0,1.6231396
4219,1.0,1.6166682
4229,1.0,2.0028536
4239,1.0,1.8161558
4249,1.0,1.8034706
4259,1.0,2.4966745
4269,1.0,2.8681917
4279,1.0,2.8074331
4289,1.0,2.627689
4299,1.0,3.1287303
4309,1.0,3.397138
4319,1.0,3.8001237
4329,1.0,3.9258032
4339,1.0,4.216241
4349,1.0,3.95961
4359,1.0,4.450082
4369,1.0,4.566413
4379,1.0,5.102934
4389,1.0,5.1209836
