T,S,Score
999,0.0,0.030126385000612266
1009,0.0,0.030541973757895913
1019,0.0,-0.026545350677428803
1029,0.0,-0.03048021522247768
1039,0.0,-0.06257175357201894
1049,0.0,-0.0655302036111326
1059,0.0,-0.026930266967249428
1069,0.0,-0.04134548704214236
1079,0.0,-0.12032584819510961
1089,0.0,-0.07614150713478907
1099,0.0,-0.07341990968239753
1109,0.0,-0.047815089152269286
1119,0.0,-0.1528536899214331
1129,0.0,-0.029783960227526163
1139,0.0,-0.09465599648026768
1149,0.0,-0.11083208313317261
1159,0.0,-0.0894074152400578
1169,0.0,0.06742657361831128
1179,0.0,0.002778873771096757
1189,0.0,-0.0531680309535395
1199,0.0,-0.15875445696657353
1209,0.0,-0.11715243717826151
1219,0.0,-0.09147643178045428
1229,0.0,-0.1354606484862041
1239,0.0,0.010904723002665206
1249,0.0,0.0038657838109231735
1259,0.0,0.008943499517582332
1269,0.0,0.011164038525222408
1279,0.0,-0.10466986748111562
1289,0.0,-0.03067959484350724
1299,0.0,0.0028724139756836076
1309,0.0,-0.13016814074641236
1319,0.0,-0.06063920229992037
1329,0.0,0.01666300562866274
1339,0.0,0.08052538991337232
1349,0.0,-0.043002667176225584
1359,0.0,0.08741574632996874
1369,0.0,-0.0656512348387539
1379,0.0,-0.04629769768435943
1389,0.0,-0.1175027809509197
1399,0.0,-0.07658373180245115
1409,0.0,-0.06913154815874822
1419,0.0,-0.011883690663688884
1429,0.0,-0.09490683080016238
1439,0.0,-0.14314303902028824
1449,0.0,-0.045955672774120715
1459,0.0,0.009206901297311276
1469,0.0,-0.1174540268073494
1479,0.0,-0.024039629130494733
1489,0.0,0.024904332898215253
1499,0.0,0.06237635750034276
1509,0.0,0.02194548592880763
1519,0.0,-0.13098014082717302
1529,0.0,-0.16294575451559112
1539,0.0,-0.07338074560918484
1549,0.0,-0.15152105275181837
1559,0.0,-0.1105989416087817
1569,0.0,-0.20580234776419293
1579,0.0,-0.17658067394961785
1589,0.0,-0.2152631515695388
1599,0.0,-0.1745077688631841
1609,0.0,-0.0815076813305633
1619,0.0,-0.1183372728882991
1629,0.0,-0.14373774908883963
1639,0.0,-0.23176644416905257
1649,0.0,-0.10790490806488795
1659,0.0,-0.08397095806513044
1669,0.0,-0.15778665477003018
1679,0.0,-0.1222016268295979
1689,0.0,-0.1749500415087737
1699,0.0,-0.1068085128213192
1709,0.0,0.03999905876458798
1719,0.0,-0.08184932161319791
1729,0.0,-0.08781326216771279
1739,0.0,-0.05947849455293219
1749,0.0,-0.07742383050133717
1759,0.0,-0.13682713435717864
1769,0.0,-0.11004777327157689
1779,0.0,-0.05420443411199816
1789,0.0,-0.22684301227931536
1799,0.0,-0.12394930047847919
1809,0.0,-0.1502682350948048
1819,0.0,-0.15915059519310004
1829,0.0,-0.18083468861558893
1839,0.0,-0.06521589238168635
1849,0.0,-0.11054418749732331
1859,0.0,-0.09451441460359544
1869,0.0,-0.0663784534794748
1879,0.0,-0.1288956368041344
1889,0.0,-0.12442305770917661
1899,0.0,-0.010817254137665766
1909,0.0,-0.15354514596117397
1919,0.0,-0.03157071144852752
1929,0.0,-0.1601814274785177
1939,0.0,-0.06892246117517609
1949,0.0,-0.06941421862811148
1959,0.0,0.0015878112434211111
1969,0.0,-0.1001100070002422
1979,0.0,-0.20096518770636318
1989,0.0,-0.11884530238114599
1999,0.0,-0.20115866850501707
2009,1.0,-0.14363496761502026
2019,1.0,-0.10178058705028048
2029,1.0,-0.092815283948809
2039,1.0,-0.10046433064519056
2049,1.0,0.020381657138310527
2059,1.0,0.047185369254531095
2069,1.0,0.14114820018642216
2079,1.0,0.10764324637377654
2089,1.0,0.32466704901089494
2099,1.0,0.3606401064548247
2109,1.0,0.394915514251152
2119,1.0,0.5405212837763081
2129,1.0,0.6664531799543397
2139,1.0,0.6618229789831563
2149,1.0,0.7153013774889065
2159,1.0,0.8510129183057681
2169,1.0,1.0064847949503684
2179,1.0,1.1080337774467612
2189,1.0,1.0499165830012567
2199,1.0,1.255275467597726
2209,1.0,1.4425969166405745
2219,1.0,1.7111504585179693
2229,1.0,1.6549075004374478
2239,1.0,1.735297457144715
2249,1.0,2.078914192338693
2259,1.0,2.4209319212730946
2269,1.0,2.4800987384956574
2279,1.0,2.483755899766672
2289,1.0,2.793531190678156
2299,1.0,2.7897849847975995
2309,1.0,2.8536361282358773
2319,1.0,3.320500501693038
2329,1.0,3.340336251681551
2339,1.0,3.7306271452544415
2349,1.0,4.279902725480414
2359,1.0,4.481338190730407
2369,1.0,4.7416545410268185
2379,1.0,5.1535973946232225
2389,1.0,5.314421995418382
2399,1.0,5.466736407546533
2409,1.0,5.873630401603608
2419,1.0,6.367503813312257
2429,1.0,6.019107960448787
2439,1.0,6.129439415844322
2449,1.0,6.243918282683386
2459,1.0,7.310765764454294
2469,1.0,7.036406807337051
2479,1.0,8.132960718802073
2489,1.0,8.179622118188476
2499,1.0,8.481386233814165
2509,1.0,8.778210123822635
2519,1.0,8.087530371356586
2529,1.0,7.692186894319492
2539,1.0,7.400526084495992
2549,1.0,6.422204885377637
2559,1.0,6.5720124483164675
2569,1.0,6.303941481748273
2579,1.0,5.543572324373908
2589,1.0,5.205952924222079
2599,1.0,5.280969226739983
2609,1.0,4.80000254782015
2619,1.0,4.471579864510598
2629,1.0,4.142628678288975
2639,1.0,3.871755924958782
2649,1.0,3.734451556809412
2659,1.0,3.596943644354233
2669,1.0,3.41318778030426
2679,1.0,3.245585208772679
2689,1.0,3.1755100438156907
2699,1.0,3.0066551386909017
2709,1.0,2.7475035919427073
2719,1.0,2.924647162820611
2729,1.0,2.6162161177346483
2739,1.0,2.56374308428588
2749,1.0,2.6652598993141523
2759,1.0,2.22570095858761
2769,1.0,2.136592605202232
2779,1.0,2.0351914875625026
2789,1.0,1.9348823983520385
2799,1.0,1.604009908119097
2809,1.0,1.5760857071081718
2819,1.0,1.333159781251712
2829,1.0,1.0886833730666794
2839,1.0,1.0979349206034184
2849,1.0,0.9149495832814921
2859,1.0,0.8999737466883104
2869,1.0,0.650185502808349
2879,1.0,0.5399184184338938
2889,1.0,0.46666193277003765
2899,1.0,0.35899039061830496
2909,1.0,0.35887890834657166
2919,1.0,0.04465703433876811
2929,1.0,0.06175512504487446
2939,1.0,0.03492037698309236
2949,1.0,0.042546107772337804
2959,1.0,0.04634239031882914
2969,1.0,-0.025256202508823322
2979,1.0,-0.14128905936949698
2989,1.0,-0.11901944000074993
2999,1.0,-0.06263233375775157
3009,0.0,-0.2550848290921679
3019,0.0,-0.19460194923192198
3029,0.0,-0.0631325363678108
3039,0.0,-0.06950645167129721
3049,0.0,-0.07588860037219958
3059,0.0,-0.054074226658781255
3069,0.0,-0.014943722548210081
3079,0.0,-0.13602310213485924
3089,0.0,-0.09986840659842577
3099,0.0,-0.13515426438381684
3109,0.0,-0.20914319041097573
3119,0.0,-0.3119499355661539
3129,0.0,-0.2552820218670687
3139,0.0,-0.22078835534278884
3149,0.0,-0.2605204925298097
3159,0.0,-0.16007498473612947
3169,0.0,-0.15626592024342367
3179,0.0,-0.07153101451880495
3189,0.0,-0.12492741346174197
3199,0.0,-0.16752291829727517
3209,0.0,-0.19747294910657565
3219,0.0,-0.08142916150522972
3229,0.0,0.02222254759968889
3239,0.0,-0.007215829110145289
3249,0.0,-0.049723714865256174
3259,0.0,-0.04219143776165202
3269,0.0,-0.10046393014112809
3279,0.0,-0.10442669541638994
3289,0.0,-0.14117367953561433
3299,0.0,-0.1306628719371885
3309,0.0,-0.14562555047707104
3319,0.0,-0.13126497323212738
3329,0.0,-0.22202136264496597
3339,0.0,-0.2062682134985414
3349,0.0,-0.25130101691119255
3359,0.0,-0.12739754028742367
3369,0.0,-0.16799903832362229
3379,0.0,-0.11320055508775884
3389,0.0,-0.2034972380601029
3399,0.0,-0.1420643600262106
3409,0.0,-0.17919837518295156
3419,0.0,-0.14080198035289793
3429,0.0,-0.10090973300274741
3439,0.0,-0.08284861952542677
3449,0.0,-0.174372934299456
3459,0.0,-0.0954862650928594
3469,0.0,-0.048864486404910035
3479,0.0,-0.03029456348444426
3489,0.0,-0.07549285357206836
3499,0.0,-0.09015891706886103
3509,0.0,-0.017903283359022137
3519,0.0,-0.06454783662150998
3529,0.0,-0.0716335926546684
3539,0.0,-0.3056024635334509
3549,0.0,-0.0320339105713674
3559,0.0,-0.057898248183090195
3569,0.0,-0.13505498233994218
3579,0.0,-0.059136541414802624
3589,0.0,0.055404363095562514
3599,0.0,-0.05845812784263915
3609,0.0,-0.14929921065695617
3619,0.0,-0.16255018474504657
3629,0.0,-0.11123213079244476
3639,0.0,-0.08284867809355279
3649,0.0,-0.06462107738963041
3659,0.0,-0.15407790400355048
3669,0.0,-0.07689063682626474
3679,0.0,-0.0655688300684707
3689,0.0,-0.14840073527858944
3699,0.0,-0.1375442042274745
3709,0.0,-0.18028513312084216
3719,0.0,-0.11642217725777115
3729,0.0,-0.14915155610571906
3739,0.0,-0.22442611400602053
3749,0.0,-0.10141450316839229
3759,0.0,-0.12256216426336752
3769,0.0,-0.19649506624350732
3779,0.0,-0.12480529635488635
3789,0.0,-0.10746427137961612
3799,0.0,-0.19497750344803544
3809,0.0,-0.18366761309727264
3819,0.0,-0.14972031399270713
3829,0.0,-0.13941147300228285
3839,0.0,-0.22567250248156923
3849,0.0,-0.1725447061927161
3859,0.0,-0.2496203492870016
3869,0.0,-0.10268138248999426
3879,0.0,-0.1101726588424714
3889,0.0,-0.16286840494544286
3899,0.0,-0.26440855306569333
3909,0.0,-0.15819497838531205
3919,0.0,-0.13441830314509917
3929,0.0,-0.15723589423052442
3939,0.0,-0.0822505531222153
3949,0.0,-0.15726541175178688
3959,0.0,-0.1863134660215643
3969,0.0,-0.168643915908404
3979,0.0,-0.13833029135027675
3989,0.0,-0.18339725770052817
3999,0.0,-0.12957435400497042
4009,1.0,-0.17174532212867577
4019,1.0,-0.07746731617930569
4029,1.0,-0.052681458949183746
4039,1.0,-0.0767520961953776
4049,1.0,0.09199487490134917
4059,1.0,0.192407171330516
4069,1.0,0.3639273347188495
4079,1.0,0.39224013584322637
4089,1.0,0.5697932617804851
4099,1.0,0.7645295204161261
4109,1.0,0.9181944108702269
4119,1.0,1.0886831669540005
4129,1.0,1.2343424902296336
4139,1.0,1.1942812660891091
4149,1.0,1.3352786066025666
4159,1.0,1.8979042183509045
4169,1.0,1.9746479458340986
4179,1.0,2.086142281773682
4189,1.0,2.4519872895280512
4199,1.0,2.640597265261601
4209,1.0,2.8460424504834876
4219,1.0,3.0509675319041403
4229,1.0,3.3029498981515633
4239,1.0,3.421762525687204
4249,1.0,3.356867761627977
4259,1.0,3.558409443785986
4269,1.0,3.604667118256991
4279,1.0,3.731015485828835
4289,1.0,3.8877056996732042
4299,1.0,3.7310019736055766
4309,1.0,4.479465866925283
4319,1.0,4.426159847747786
4329,1.0,4.938490163197484
4339,1.0,5.224944416288814
