T,S,Score
999,0,-0.045296954286721536
1009,0,0.012540964589691783
1019,0,0.10477000490582311
1029,0,0.16952607588688418
1039,0,0.24681300647515392
1049,0,0.1870419025131429
1059,0,0.2629459615026071
1069,0,0.334701220565507
1079,0,0.2894857585429016
1089,0,0.2868073135481787
1099,0,0.27800049564752005
1109,0,0.17632833613942311
1119,0,0.2819637775948619
1129,0,0.2524420755014575
1139,0,0.2136389869610631
1149,0,0.23928038551972608
1159,0,0.15791018521951072
1169,0,0.17219802933028416
1179,0,0.2659028795598555
1189,0,0.22998512350006217
1199,0,0.1903605798527097
1209,0,0.11509197004621308
1219,0,0.19248552633853655
1229,0,0.24717909392876014
1239,0,0.41692584599102267
1249,0,0.4272660491724739
1259,0,0.2791421088985673
1269,0,0.4338224236825722
1279,0,0.5018878581105328
1289,0,0.48198053913599515
1299,0,0.5619880564495517
1309,0,0.44062374207649213
1319,0,0.4672405298420511
1329,0,0.4177118012958423
1339,0,0.5728539397148914
1349,0,0.44117435701891705
1359,0,0.5011277187303628
1369,0,0.32580641685726475
1379,0,0.31205182842235435
1389,0,0.24685513815427063
1399,0,0.16416739347916254
1409,0,0.21720304703897442
1419,0,0.1899868195538158
1429,0,0.17598799110346441
1439,0,0.0472267450834698
1449,0,0.027978197891380452
1459,0,0.13108511795966682
1469,0,0.010892195282578343
1479,0,-0.2290111239696513
1489,0,-0.022138588873287568
1499,0,-0.07628652825977333
1509,0,-0.013329178594645219
1519,0,-0.0029938072689820183
1529,0,-0.05135275498151526
1539,0,0.040418880812636115
1549,0,-0.13328588741136238
1559,0,0.0988340701093503
1569,0,0.11974823467137874
1579,0,0.08773621738138881
1589,0,0.07660096645455128
1599,0,0.10282703575701335
1609,0,0.0836424268004542
1619,0,0.01732521269245746
1629,0,0.01736980708365221
1639,0,0.05077075531600417
1649,0,0.06929414854205229
1659,0,0.04957581572006875
1669,0,0.1026048252773224
1679,0,-0.007934291610352084
1689,0,-0.0112677850194558
1699,0,-0.005806604310867325
1709,0,-0.04449360207644115
1719,0,-0.2950953773537849
1729,0,-0.08829317725171637
1739,0,-0.05521877975784839
1749,0,-0.07156722657680592
1759,0,-0.01297902205822754
1769,0,-0.03167463411186899
1779,0,-0.1673950997908742
1789,0,-0.039116322877807086
1799,0,-0.09147708768430096
1809,0,0.06032056949688891
1819,0,-0.10736681351278932
1829,0,-0.11581084760105786
1839,0,-0.11141592320754212
1849,0,-0.0197919759384112
