T,S,X0
0,0,-604
1,0,969
2,0,778
3,0,5389
4,0,-1185
5,0,-1185
6,0,-1996
7,0,-4000
8,0,3632
9,0,6074
10,0,2559
11,0,2297
12,0,1482
13,0,-4143
14,0,-1811
15,0,2270
16,0,474
17,0,-1578
18,0,1614
19,0,1236
20,0,4120
21,0,5949
22,0,3767
23,0,2046
24,0,-5259
25,0,-4869
26,0,-1036
27,0,1998
28,0,677
29,0,1929
30,0,6665
31,0,-827
32,0,1959
33,0,405
34,0,6651
35,0,1376
36,0,-1495
37,0,1862
38,0,-4245
39,0,-9088
40,0,-3620
41,0,5936
42,0,12651
43,0,10310
44,0,82
45,0,-8813
46,0,-6811
47,0,-1355
48,0,5899
49,0,6912
50,0,3709
51,0,-1595
52,0,-6826
53,0,-1416
54,0,2299
55,0,4692
56,0,-339
57,0,3577
58,0,2671
59,0,3527
60,0,-2227
61,0,-6912
62,0,-3883
63,0,3685
64,0,3080
65,0,4244
66,0,2099
67,0,-2615
68,0,6340
69,0,12406
70,0,993
71,0,-8863
72,0,-14969
73,0,-5018
74,0,2660
75,0,8613
76,0,5196
77,0,4523
78,0,4657
79,0,3524
80,0,-2705
81,0,-2193
82,0,-1843
83,0,-1093
84,0,-1967
85,0,-60
86,0,-2707
87,0,4870
88,0,6899
89,0,4154
90,0,-5705
91,0,133
92,0,5411
93,0,-4643
94,0,-1207
95,0,1683
96,0,1411
97,0,-186
98,0,790
99,0,4488
100,0,6293
101,0,3116
102,0,-3041
103,0,-9296
104,0,-6004
105,0,2530
106,0,8193
107,0,4677
108,0,1220
109,0,2643
110,0,-1690
111,0,-4141
112,0,-1660
113,0,1537
114,0,-710
115,0,450
116,0,3711
117,0,6437
118,0,5111
119,0,308
120,0,20
121,0,-6168
122,0,-5431
123,0,-1788
124,0,2536
125,0,10360
126,0,4541
127,0,-4215
128,0,-3442
129,0,-5725
130,0,7359
131,0,10347
132,0,6287
133,0,-1774
134,0,-2844
135,0,-3170
136,0,1074
137,0,-7824
138,0,-4260
139,0,1424
140,0,7757
141,0,7724
142,0,7240
143,0,2466
144,0,-115
145,0,-6223
146,0,-5165
147,0,-9213
148,0,4647
149,0,6621
150,0,4390
151,0,9482
152,0,7329
153,0,-4395
154,0,-10524
155,0,-7086
156,0,-2776
157,0,4262
158,0,8830
159,0,7930
160,0,7583
161,0,-4898
162,0,-5854
163,0,-4610
164,0,2710
165,0,2031
166,0,7773
167,0,417
168,0,-5256
169,0,-275
170,0,-3097
171,0,-1014
172,0,3040
173,0,12568
174,0,6710
175,0,-2654
176,0,-7030
177,0,-3310
178,0,1723
179,0,781
180,0,473
181,0,-88
182,0,1701
183,0,3388
184,0,7415
185,0,1622
186,0,-5377
187,0,-6504
188,0,-2976
189,0,3784
190,0,8033
191,0,4942
192,0,5313
193,0,526
194,0,-7286
195,0,-5765
196,0,-2683
197,0,1123
198,0,-27
199,0,1413
200,0,7039
201,0,8511
202,0,7023
203,0,-1959
204,0,-1118
205,0,-4410
206,0,-7182
207,0,-4235
208,0,3537
209,0,5354
210,0,6834
211,0,2364
212,0,-4369
213,0,106
214,0,2822
215,0,5409
216,0,1853
217,0,-2099
218,0,-3675
219,0,-869
220,0,-1790
221,0,-787
222,0,-544
223,0,6283
224,0,5909
225,0,7089
226,0,-10
227,0,-5835
228,0,-4025
229,0,68
230,0,2444
231,0,-1417
232,0,-5981
233,0,18
234,0,5275
235,0,7213
236,0,2669
237,0,2406
238,0,2387
239,0,8774
240,0,5229
241,0,-5033
242,0,-8403
243,0,-12429
244,0,-7338
245,0,-106
246,0,9760
247,0,11612
248,0,2231
249,0,1026
250,0,3511
251,0,7387
252,0,2957
253,0,-3006
254,0,-6538
255,0,-5513
256,0,-5081
257,0,677
258,0,4331
259,0,6145
260,0,2271
261,0,-408
262,0,8357
263,0,7145
264,0,2320
265,0,-6812
266,0,-14590
267,0,-5270
268,0,12475
269,0,10582
270,0,4943
271,0,1122
272,0,1172
273,0,-3327
274,0,-9675
275,0,-2860
276,0,1103
277,0,-4384
278,0,3698
279,0,9670
280,0,9992
281,0,9760
282,0,-2422
283,0,-7104
284,0,-5767
285,0,-5742
286,0,-6679
287,0,2966
288,0,6767
289,0,12749
290,0,5618
291,0,-3333
292,0,-6098
293,0,-2667
294,0,453
295,0,6352
296,0,7601
297,0,2603
298,0,-4335
299,0,-2495
300,0,-2462
301,0,-2680
302,0,-1008
303,0,6458
304,0,4338
305,0,5733
306,0,-423
307,0,393
308,0,-1349
309,0,989
310,0,-1963
311,0,2150
312,0,4419
313,0,-1534
314,0,-6608
315,0,3312
316,0,2997
317,0,4169
318,0,-941
319,0,2865
320,0,-397
321,0,4213
322,0,-864
323,0,2901
324,0,4658
325,0,-159
326,0,-8554
327,0,-9823
328,0,-3011
329,0,6703
330,0,9358
331,0,6010
332,0,2670
333,0,243
334,0,-589
335,0,3498
336,0,8707
337,0,1924
338,0,-8448
339,0,-14660
340,0,-6399
341,0,-976
342,0,6845
343,0,13622
344,0,16178
345,0,1590
346,0,-1561
347,0,-5594
348,0,-8318
349,0,-8076
350,0,-1603
351,0,4392
352,0,14566
353,0,11297
354,0,2578
355,0,-5493
356,0,-10154
357,0,-9148
358,0,-8004
359,0,4296
360,0,20675
361,0,14039
362,0,2249
363,0,-5393
364,0,-13135
365,0,-6242
366,0,5516
367,0,6952
368,0,7073
369,0,-764
370,0,-7237
371,0,1082
372,0,-183
373,0,795
374,0,1870
375,0,7814
376,0,2904
377,0,5793
378,0,-5833
379,0,-12249
380,0,-10431
381,0,1780
382,0,16371
383,0,14337
384,0,12056
385,0,1859
386,0,-7558
387,0,-15927
388,0,-10660
389,0,-7324
390,0,1962
391,0,12788
392,0,16664
393,0,10748
394,0,153
395,0,-5959
396,0,-4966
397,0,-6159
398,0,-3442
399,0,2900
400,0,2263
401,0,7543
402,0,3025
403,0,-959
404,0,-6113
405,0,-2141
406,0,491
407,0,3620
408,0,3117
409,0,1079
410,0,-1120
411,0,4643
412,0,4406
413,0,3005
414,0,-695
415,0,-2380
416,0,-8249
417,0,-5627
418,0,-1791
419,0,8844
420,0,4753
421,0,7041
422,0,2915
423,0,2496
424,0,1944
425,0,-9423
426,0,-4961
427,0,-3635
428,0,3137
429,0,4415
430,0,785
431,0,-430
432,0,7828
433,0,11635
434,0,410
435,0,-8683
436,0,-13786
437,0,-6879
438,0,8059
439,0,6938
440,0,2507
441,0,6233
442,0,2018
443,0,-2078
444,0,2460
445,0,343
446,0,491
447,0,2906
448,0,2475
449,0,-5517
450,0,-5864
451,0,2353
452,0,-189
453,0,-2424
454,0,-2015
455,0,4588
456,0,9627
457,0,13570
458,0,11949
459,0,-3170
460,0,-17733
461,0,-9680
462,0,-4064
463,0,3876
464,0,6545
465,0,3515
466,0,180
467,0,3609
468,0,-799
469,0,-3611
470,0,-1445
471,0,8348
472,0,9166
473,0,5789
474,0,893
475,0,-5874
476,0,-12033
477,0,-5732
478,0,-2010
479,0,5759
480,0,9915
481,0,10354
482,0,8932
483,0,-1778
484,0,-11536
485,0,-6134
486,0,2653
487,0,8
488,0,2137
489,0,4232
490,0,1054
491,0,1455
492,0,6811
493,0,-293
494,0,-6103
495,0,-7216
496,0,-1191
497,0,5127
498,0,9306
499,0,6228
500,0,1240
501,0,2531
502,0,-7386
503,0,-11993
504,0,-1450
505,0,3239
506,0,7806
507,0,8401
508,0,9952
509,0,-4396
510,0,-8091
511,0,-4823
512,0,3120
513,0,2290
514,0,-2382
515,0,2872
516,0,4133
517,0,-3654
518,0,-2738
519,0,177
520,0,9080
521,0,3843
522,0,-4714
523,0,-4285
524,0,4008
525,0,-715
526,0,-1373
527,0,3987
528,0,8565
529,0,7171
530,0,-2365
531,0,-5195
532,0,-828
533,0,-6549
534,0,-1490
535,0,-368
536,0,5551
537,0,7942
538,0,4268
539,0,565
540,0,4555
541,0,1084
542,0,-7037
543,0,-7129
544,0,-3509
545,0,1215
546,0,7524
547,0,8435
548,0,5788
549,0,2410
550,0,-3556
551,0,-8157
552,0,-6787
553,0,-1390
554,0,2128
555,0,11792
556,0,12378
557,0,4878
558,0,-7696
559,0,-3578
560,0,-6887
561,0,-805
562,0,4681
563,0,6139
564,0,2566
565,0,-3361
566,0,-473
567,0,3987
568,0,6320
569,0,-6475
570,0,-2816
571,0,568
572,0,10342
573,0,7075
574,0,1752
575,0,-2429
576,0,-8405
577,0,-7577
578,0,3340
579,0,4767
580,0,1858
581,0,5800
582,0,3430
583,0,-3209
584,0,-851
585,0,-404
586,0,1812
587,0,8766
588,0,3969
589,0,-4705
590,0,-9006
591,0,-4518
592,0,4575
593,0,9028
594,0,5468
595,0,-409
596,0,1163
597,0,-3021
598,0,-6453
599,0,-2264
600,0,3217
601,0,3900
602,0,697
603,0,6419
604,0,7308
605,0,1379
606,0,-2657
607,0,-5618
608,0,-1896
609,0,-3952
610,0,1077
611,0,1444
612,0,702
613,0,-2909
614,0,2756
615,0,4265
616,0,9833
617,0,7557
618,0,322
619,0,-4328
620,0,-4897
621,0,-1105
622,0,-1137
623,0,-2927
624,0,-699
625,0,-523
626,0,558
627,0,1049
628,0,4820
629,0,6847
630,0,11085
631,0,3401
632,0,-4779
633,0,-8267
634,0,-2213
635,0,-6998
636,0,1106
637,0,5213
638,0,4396
639,0,4821
640,0,1528
641,0,-2577
642,0,1165
643,0,-988
644,0,-2293
645,0,-2935
646,0,-2420
647,0,1523
648,0,14409
649,0,13276
650,0,3478
651,0,-7664
652,0,-12416
653,0,-7519
654,0,519
655,0,4026
656,0,1221
657,0,-1664
658,0,6483
659,0,10366
660,0,7227
661,0,4101
662,0,-2806
663,0,-2342
664,0,-5570
665,0,-6022
666,0,-4493
667,0,3287
668,0,1576
669,0,1824
670,0,6264
671,0,7559
672,0,3340
673,0,-1129
674,0,-5166
675,0,-788
676,0,3322
677,0,6847
678,0,791
679,0,-6426
680,0,-7465
681,0,-4471
682,0,6056
683,0,12826
684,0,5052
685,0,-916
686,0,-4440
687,0,-428
688,0,-1887
689,0,5042
690,0,3942
691,0,-406
692,0,-268
693,0,-30
694,0,2465
695,0,407
696,0,-456
697,0,-3282
698,0,-4882
699,0,6834
700,0,8168
701,0,-593
702,0,-564
703,0,-1069
704,0,-3208
705,0,4029
706,0,5505
707,0,2794
708,0,-4243
709,0,-8466
710,0,-6602
711,0,2958
712,0,7611
713,0,8442
714,0,6425
715,0,-3844
716,0,-1015
717,0,4740
718,0,5946
719,0,-2845
720,0,-3655
721,0,-8450
722,0,-2384
723,0,-1041
724,0,2302
725,0,5157
726,0,13287
727,0,8753
