T,S,Score
999,0,3.1582184
1009,0,2.7604694
1019,0,3.1235774
1029,0,3.0065634
1039,0,2.8586886
1049,0,2.9540148
1059,0,2.8782184
1069,0,2.717385
1079,0,2.842182
1089,0,2.4488447
1099,0,2.6661615
1109,0,2.246682
1119,0,1.9544718
1129,0,2.1367826
1139,0,2.02941
1149,0,1.6524482
1159,0,1.7395225
1169,0,1.4716555
1179,0,1.6926687
1189,0,1.6973937
1199,0,1.5999825
1209,0,1.480902
1219,0,1.8484819
1229,0,1.9798377
1239,0,1.6361516
1249,0,1.4535699
1259,0,1.7079543
1269,0,1.3202301
1279,0,1.2993369
1289,0,1.6822008
1299,0,1.139221
1309,0,1.067312
1319,0,1.1031544
1329,0,1.1713814
1339,0,0.9499812
1349,0,0.938398
1359,0,0.85300404
1369,0,0.6898008
1379,0,0.76781297
1389,0,0.98676085
1399,0,0.88163507
1409,0,0.9988613
1419,0,0.8682577
1429,0,0.8505007
1439,0,0.7303747
1449,0,0.6617659
1459,0,0.7421265
1469,0,0.42104816
1479,0,0.47482318
1489,0,0.28344518
1499,0,0.050186574
1509,0,0.046456814
1519,0,-0.22638708
1529,0,-0.1917479
1539,0,-0.18386918
1549,0,-0.20513707
1559,0,-0.42438024
1569,0,-0.33079672
1579,0,-0.2684241
1589,0,-0.35369956
1599,0,-0.27603477
1609,0,-0.0950349
1619,0,-0.08506775
1629,0,-0.10307962
1639,0,-0.15557021
1649,0,-0.15084094
1659,0,-0.25323904
1669,0,-0.26099348
1679,0,-0.10368234
1689,0,0.025894046
1699,0,-0.12977332
1709,0,-0.044429064
1719,0,-0.05937451
1729,0,0.0412063
1739,0,-0.14786386
1749,0,0.062135637
1759,0,0.10504705
1769,0,0.046826184
1779,0,0.05626321
1789,0,0.09615767
1799,0,0.1395399
1809,0,0.054338634
1819,0,0.14494437
1829,0,0.09179473
1839,0,0.22907656
1849,0,0.04119748
1859,0,-0.11086351
1869,0,-0.20922142
1879,0,-0.27455646
1889,0,0.0362373
1899,0,-0.06531483
1909,0,-0.06168437
1919,0,0.07107329
1929,0,0.03972
1939,0,0.06978834
1949,0,0.019377828
1959,0,0.097089946
1969,0,-0.056175053
1979,0,0.0053115487
1989,0,-0.0064709187
1999,0,-0.14326608
2009,0,-0.058196425
2019,0,-0.17246348
2029,0,-0.07393581
2039,0,-0.0058459044
2049,0,-0.10193211
2059,0,-0.022116244
2069,0,-0.17432994
2079,0,-0.14144975
2089,0,-0.21906698
2099,0,0.13389903
2109,0,-0.0074619055
2119,0,0.049037278
2129,0,0.23303592
2139,0,0.09345287
2149,0,-0.01703459
2159,0,0.1239509
2169,0,0.16720223
2179,0,0.41693592
2189,0,0.34689772
2199,0,0.3083896
2209,0,0.68888175
2219,0,0.6082466
2229,0,0.48265147
2239,0,0.5584497
2249,0,0.46454543
2259,0,0.79152644
2269,0,0.61712146
2279,0,0.85556
2289,0,0.8377612
2299,0,0.78455794
2309,0,1.0567214
2319,0,1.0326385
2329,0,0.80047816
2339,0,0.98673695
2349,0,1.1784902
2359,0,1.5520072
2369,0,1.7431406
2379,0,1.5939376
2389,0,1.5045447
2399,0,1.7827137
2409,0,2.005056
2419,0,1.5984178
2429,0,1.4629095
2439,0,1.8840791
2449,0,1.9285195
2459,0,1.984415
2469,0,1.9092722
2479,0,2.188187
2489,0,2.426488
2499,0,2.386498
2509,0,2.485245
2519,0,2.640714
2529,0,2.1461964
2539,0,2.1100476
2549,0,2.1399503
2559,0,1.8309472
2569,0,1.7227445
2579,0,1.9847767
2589,0,2.111815
2599,0,2.3413265
2609,0,2.232458
2619,0,2.0520222
2629,0,1.7267838
2639,0,1.9453843
2649,0,1.703151
2659,0,1.6241235
2669,0,1.4652245
2679,0,1.2681674
2689,0,1.2043167
2699,0,0.89361405
2709,0,0.93929064
2719,0,0.72662693
2729,0,0.71804935
2739,0,0.5539938
2749,0,0.3914566
2759,0,0.36558497
2769,0,0.29453635
2779,0,0.45226014
2789,0,0.14970547
2799,0,0.1037662
2809,0,0.010371327
2819,0,-0.031133652
2829,0,-0.11038506
2839,0,-0.28399563
2849,0,-0.33941835
2859,0,-0.27413136
2869,0,-0.2823804
2879,0,-0.27266198
2889,0,-0.23528224
2899,0,-0.13005877
2909,0,-0.09336704
2919,0,-0.066509545
2929,0,-0.06468785
2939,0,0.019359946
2949,0,0.12474853
2959,0,0.16190839
2969,0,0.037946224
2979,0,-0.2753619
2989,0,-0.02832371
2999,0,0.2987501
3009,0,0.31259298
3019,0,0.37069774
3029,0,0.50958073
3039,0,0.4035164
3049,0,0.3066426
3059,0,0.46760565
3069,0,0.54474807
3079,0,0.54398274
3089,0,0.6552473
3099,0,1.0356984
3109,0,0.8196244
3119,0,0.5565392
3129,0,0.66535723
3139,0,0.7713509
3149,0,0.8535683
3159,0,0.7534907
3169,0,0.79508585
3179,0,0.777935
3189,0,0.89023364
3199,0,0.858711
3209,0,0.4159444
3219,0,0.53172195
3229,0,0.39687937
3239,0,0.5270861
3249,0,0.28773707
3259,0,0.3729934
3269,0,0.56731045
3279,0,0.3961134
3289,0,0.44941717
3299,0,0.5038666
3309,0,0.48500746
3319,0,0.45349485
3329,0,0.627482
3339,0,0.7061683
3349,0,0.4515177
3359,0,0.27564943
3369,0,0.34206104
3379,0,0.17957473
3389,0,0.1958251
3399,0,0.15985078
3409,0,0.22408944
3419,0,0.3545937
3429,0,0.0058864355
3439,0,0.19293207
3449,0,0.13419235
3459,0,0.24892491
3469,0,0.09575069
3479,0,0.24928331
3489,0,0.30444062
3499,0,0.3374653
3509,0,0.3436464
3519,0,0.4595062
3529,0,0.6894104
3539,0,0.9338387
3549,0,1.2862742
3559,0,1.2852443
3569,0,1.6095861
3579,0,1.6315911
3589,0,1.7382369
3599,0,1.6867719
3609,0,1.7895112
3619,0,1.8441503
3629,0,2.4067674
3639,0,2.7960079
3649,0,2.4415452
3659,0,2.8351157
3669,0,2.9089286
3679,0,2.6429946
3689,0,3.1219788
3699,0,3.1017146
3709,0,3.3478098
3719,0,3.5259285
3729,0,3.582892
3739,0,4.074711
3749,0,3.6977327
3759,0,3.809572
3769,0,4.212715
3779,0,4.4180303
3789,0,4.2839766
3799,0,4.5331078
3809,0,4.3040943
3819,0,4.7596283
3829,0,5.0404577
3839,0,5.8070107
3849,0,5.635812
3859,0,5.7942543
3869,0,5.6903963
3879,0,5.703929
3889,0,5.6841183
3899,0,5.5021696
3909,0,5.100669
3919,0,4.547867
3929,0,4.211807
3939,0,4.1041365
3949,0,4.1794076
3959,0,3.93283
