T,S,Score
999,0,0.008230795082825926
1009,0,0.0002735725384022114
1019,0,0.00028394152060268185
1029,0,0.0003294915496721007
1039,0,0.0003349813700723181
1049,0,0.0003400314339188082
1059,0,0.00031398213964872745
1069,0,0.0002968508635687317
1079,0,0.00028569706951353524
1089,0,0.0002525684566625497
1099,0,0.00023942202350579755
1109,0,0.0002665626814284394
1119,0,0.00026314825722983937
1129,0,0.0002719216821905346
1139,0,0.0002434632742415732
1149,0,0.00020418677721734113
1159,0,0.00019681216476563623
1169,0,0.0001643380702036623
1179,0,0.00013440632318112433
1189,0,8.667847029636411e-05
1199,0,0.00014478558171471256
1209,0,0.0001521960668950384
1219,0,0.00014549976262578923
1229,0,0.0001514150252062696
1239,0,0.00014491959157225676
1249,0,0.0001310087816216443
1259,0,0.0001148435278034432
1269,0,0.00011589211681761746
1279,0,0.00011579226562719036
1289,0,0.00012132175807566536
1299,0,8.189907679700958e-05
1309,0,3.318875017910283e-05
1319,0,1.9158878617586694e-05
1329,0,4.9252774601937777e-05
1339,0,5.6608151837056475e-05
1349,0,8.146352964222281e-05
1359,0,8.014437113867956e-05
1369,0,8.770224447218755e-05
1379,0,8.601824193354979e-05
1389,0,8.252372260031393e-05
1399,0,7.700312680991583e-05
1409,0,8.2888141183457e-05
1419,0,4.458034096033181e-05
1429,0,4.809688426588021e-05
1439,0,2.808507033025265e-05
1449,0,4.4144348165131575e-05
1459,0,3.371695031972877e-05
1469,0,1.3460633334516636e-05
1479,0,1.0526122795728732e-05
1489,0,1.6492305233262172e-05
1499,0,9.326067641923785e-06
1509,0,2.8858261472253233e-05
1519,0,6.484233303044595e-05
1529,0,8.65809249328553e-05
1539,0,5.454134289523127e-05
1549,0,5.194717811662919e-05
1559,0,7.1618650839821996e-06
1569,0,2.6380762872979524e-05
1579,0,5.488236657247292e-05
1589,0,9.437435049231002e-05
1599,0,0.00015001201680564513
1609,0,0.00011772623518591097
1619,0,0.0001197174121063127
1629,0,0.000106583277657335
1639,0,0.00012524185220363915
1649,0,0.00013458726040493918
1659,0,0.00016302485229363617
1669,0,0.00019583768840236715
1679,0,0.0001623876180761874
1689,0,0.0001092401730878878
1699,0,3.0483643912559977e-05
1709,0,5.4123908761471995e-06
1719,0,1.5230494052609345e-05
1729,0,2.8733737296504636e-05
1739,0,4.381002805092793e-05
1749,0,6.179858471067057e-05
1759,0,9.05973487325129e-05
1769,0,9.75312786792859e-05
1779,0,0.00010124418336288077
1789,0,6.183502547985054e-05
1799,0,8.306885799747032e-05
1809,0,7.575174568086318e-05
1819,0,6.12152794204901e-05
1829,0,1.4416216617463284e-05
1839,0,1.810095878551632e-05
1849,0,2.364138693949913e-05
1859,0,4.1638816603017936e-05
1869,0,4.64597268957645e-05
1879,0,5.860797350720759e-05
1889,0,5.888636409306924e-05
1899,0,5.236612237824456e-05
1909,0,7.276119654497926e-05
1919,0,4.0167321224249264e-05
1929,0,3.83119467559645e-05
1939,0,3.7089448567173555e-05
1949,0,1.6873750459778236e-05
1959,0,3.074829243410182e-05
1969,0,2.4899747627538105e-05
1979,0,4.106184557489678e-05
1989,0,2.4585287098144448e-05
1999,0,4.125813553607083e-05
2009,0,5.551592738306521e-05
2019,0,6.225268987569699e-05
2029,0,7.393153808210595e-05
2039,0,6.076586463588107e-05
2049,0,2.69998962695861e-05
2059,0,2.1061488641671566e-05
2069,0,0.0001115025743756437
2079,0,0.00013840961699618237
2089,0,0.00022057210953840833
2099,0,0.00029751617496903693
2109,0,0.0002969972308096147
2119,0,0.00027477095228883863
2129,0,0.00025428457710696684
2139,0,0.000264867029527327
2149,0,0.00022732187386620417
2159,0,0.00026837488632169837
2169,0,0.0002597264944079747
2179,0,0.00021601308988872248
2189,0,0.00017092362460602306
2199,0,0.000163227783743225
2209,0,0.0001334187572296086
2219,0,0.00014198207047477762
2229,0,0.00016813558853867594
2239,0,0.00014805085153868358
2249,0,0.0002194956502034051
2259,0,0.00023140874271809775
2269,0,0.00022580454306614373
2279,0,0.00021766210061047175
2289,0,0.0002154620650643979
2299,0,0.0002081725389848632
2309,0,0.0001933639039909396
2319,0,0.00015895481931205158
2329,0,9.87376032490217e-05
2339,0,0.00010142551181457904
2349,0,0.0001226962877667881
2359,0,0.00011838291384058675
2369,0,7.989771632077591e-05
2379,0,7.34291771216089e-05
2389,0,0.00011974851693363764
2399,0,8.733572855257332e-05
2409,0,9.804717204137114e-05
2419,0,9.012907222616384e-05
2429,0,0.0001297238025204095
2439,0,0.00011910881175913879
2449,0,0.0001849827728728215
2459,0,0.00025195987430437494
2469,0,0.0002179387444457559
2479,0,0.00026754301417708515
2489,0,0.00025588471843079885
2499,0,0.0002614592269667426
2509,0,0.0002453224805605281
2519,0,0.0002613080337757756
2529,0,0.00023857676386107585
2539,0,0.00023738209384788211
2549,0,0.0002111016379398034
2559,0,0.0001537914427667264
2569,0,0.00010368683533223955
2579,0,5.729446175589681e-05
2589,0,3.787206089123085e-05
2599,0,2.0623786928797294e-05
2609,0,3.5850117761304645e-05
2619,0,1.3523434070350504e-05
2629,0,5.295652537640194e-05
2639,0,5.908360612749686e-05
2649,0,0.00014234111614308542
2659,0,0.00010675135038051842
2669,0,0.00011173665373043207
2679,0,0.0001709561707633478
2689,0,0.00015924343699702526
2699,0,0.00014887949687691915
2709,0,0.00013809528207542332
2719,0,0.00013097301505871073
2729,0,0.00013462185925428027
2739,0,0.0001060599149831365
2749,0,5.9356696853585245e-05
2759,0,1.8360100551007008e-08
2769,0,4.54187851761656e-05
2779,0,5.7943937935678314e-05
2789,0,5.350260876302304e-05
2799,0,4.9558525219817184e-05
2809,0,6.194890536059816e-05
2819,0,4.663915247982153e-05
