T,S,Score
999,0,0.008217704034078399
1009,0,0.0010243328468993451
1019,0,0.00040369522970284955
1029,0,0.00018725907188221758
1039,0,4.989693907497816e-06
1049,0,0.000370793649869694
1059,0,5.786212479097497e-06
1069,0,-9.998001482269814e-09
1079,0,0.0009542214187040488
1089,0,0.00016227244474792402
1099,0,0.0013733853239300542
1109,0,0.001464035116243767
1119,0,-9.998000594091394e-09
1129,0,3.4982854758558446e-06
1139,0,0.0009811381007014952
1149,0,0.001340937269139697
1159,0,0.001784247610780998
1169,0,0.0035523680953327696
1179,0,0.0035262716100163405
1189,0,0.002753899527261461
1199,0,0.0027234532935045963
1209,0,0.0023081160534191847
1219,0,0.0023103210862128187
1229,0,0.00185711627963131
1239,0,0.0013065044768266754
1249,0,0.00048231186935604464
1259,0,3.0767523900854243e-06
1269,0,0.0005743321856150341
1279,0,0.004871624566323951
1289,0,0.006836694962899514
1299,0,0.0065241935836368725
1309,0,0.004793840486820078
1319,0,0.0044985525935850035
1329,0,0.005589772819073968
1339,0,0.005507085205840312
1349,0,0.006604909289328997
1359,0,0.008133666127433825
1369,0,0.006860965969165078
1379,0,0.006856080458835678
1389,0,0.004298720749668639
1399,0,0.004900806189012341
1409,0,0.005537558286364208
1419,0,0.005566986224568193
1429,0,0.0064624738757690925
1439,0,0.004240543061588942
1449,0,0.003909780374995897
1459,0,0.0022589378530812887
1469,0,0.004202069545406584
1479,0,0.0013501848963177743
1489,0,0.004885619877234848
1499,0,0.0012128288469736015
1509,0,0.00220955357132957
1519,0,0.0033896114790140652
1529,0,0.0025829159352410147
1539,0,0.001590990258871272
1549,0,0.0009258180149001038
1559,0,0.0014781861366738314
1569,0,0.003584473881946715
1579,0,0.003029550295642336
1589,0,0.0026298010107011494
1599,0,0.003441567448186633
1609,0,0.004229787409496311
1619,0,0.001769126023828116
1629,0,0.0006513627608273898
1639,0,0.0010420906722600765
1649,0,0.0010037462812748643
1659,0,0.0015009522749195314
1669,0,0.0025474564624833884
1679,0,0.0024385730465323885
1689,0,0.0026975911498396954
1699,0,0.0027906614350053927
1709,0,0.002693066113632181
1719,0,0.0017690052315665894
1729,0,0.0007508733798257672
1739,0,0.00015180208590581667
1749,0,0.00010498828721949849
1759,0,3.1372186782840927e-06
1769,0,2.1494302423485934e-06
1779,0,0.00212501886112737
1789,0,0.003043277960619206
1799,0,0.0021691516728611915
1809,0,0.0011048741110255
1819,0,0.0006295154457110486
1829,0,0.001091736643478447
1839,0,0.0014507385875729972
1849,0,0.002269176945607465
1859,0,0.0026002964768112036
1869,0,0.0014117175837962126
1879,0,0.0007180550379999873
1889,0,0.0010918867656427578
1899,0,0.0003963926756312963
1909,0,0.001279801919243262
1919,0,0.00017464639346637112
1929,0,0.0013326424574913176
1939,0,0.0009927211677230874
1949,0,0.0005792535368591145
1959,0,0.0009338292049204666
1969,0,0.0003701206515995259
1979,0,0.0017400628478230207
1989,0,0.0036267177525760586
1999,0,0.0033579644074347437
2009,0,0.006072152633518457
2019,0,0.005380304153789539
2029,0,0.0038635485031210948
2039,0,0.0007932423892296758
2049,0,0.0025287553006537733
2059,0,0.003828577395503907
2069,0,0.0014108532739962598
2079,0,0.003991353442561907
2089,0,0.003429597345143476
2099,0,0.003195953000178886
2109,0,0.004187062424947874
2119,0,0.003836989039417371
2129,0,0.0026752846328272906
2139,0,0.0025684837671528515
2149,0,0.0019847860351716595
2159,0,0.0014214456628186545
2169,0,0.0017091616815820276
2179,0,0.003037185599374548
2189,0,0.004381824962561176
2199,0,0.004355488236599092
2209,0,0.004256918309185009
2219,0,0.003070739054503391
2229,0,0.002449080732953801
2239,0,0.0021494038337790955
2249,0,0.001215004977490608
2259,0,0.0012277790042160563
2269,0,0.0011504410675794996
2279,0,0.0013041506209732767
2289,0,0.0020744552098851954
2299,0,0.000772182599886484
2309,0,0.00027438603253227
2319,0,0.0002807087719366441
2329,0,0.0006989208976685979
2339,0,0.0006085404481719903
2349,0,0.0006538533784430922
2359,0,0.0009430571622236483
2369,0,0.00237247096520804
2379,0,0.003521513866985404
2389,0,0.004275176430032834
2399,0,0.003300188826921402
2409,0,0.00385474182608736
2419,0,0.004034640544783974
2429,0,0.00368143594096515
2439,0,0.004597032534942702
2449,0,0.003871432223440663
2459,0,0.004431458437900493
2469,0,0.005309703197147908
2479,0,0.006702023996842721
2489,0,0.0077372208377941565
2499,0,0.0063967910822932406
2509,0,0.006064236620793417
2519,0,0.00584930377624765
2529,0,0.010372576065910799
2539,0,0.009700190321880853
2549,0,0.008208099074356157
2559,0,0.010793019256104375
2569,0,0.00807643322006596
2579,0,0.007297324992308951
2589,0,0.006286647752446306
2599,0,0.006151953027080381
2609,0,0.006161617213672088
2619,0,0.006113118233428305
2629,0,0.006129590217912095
2639,0,0.006381264865348901
2649,0,0.004374567230078508
2659,0,0.004905062006817729
2669,0,0.004580693786960466
2679,0,0.005320062386615587
2689,0,0.006721617995858187
2699,0,0.008035547462316273
2709,0,0.007244770817108059
2719,0,0.00513899142017854
2729,0,0.005814322952796325
2739,0,0.006043764205738045
2749,0,0.006608929615581738
2759,0,0.007509516270404526
2769,0,0.00673194795739801
2779,0,0.006043419628743718
2789,0,0.007220387273840001
2799,0,0.007086589929143239
2809,0,0.006725989745956118
2819,0,0.0050315839919936045
2829,0,0.004369381625823676
2839,0,0.004242482866630759
2849,0,0.003549923016185119
2859,0,0.00385192590927802
2869,0,0.003223646141496894
2879,0,0.0023045678023668192
2889,0,0.003335923037993793
2899,0,0.004466066547650027
2909,0,0.0028073419235112307
2919,0,0.0025206666222382657
2929,0,0.0019920008092981223
2939,0,0.00034604099498575236
2949,0,0.0011697891389653159
2959,0,4.435590116869115e-06
2969,0,0.002048616015298821
2979,0,0.002949398104963863
2989,0,0.003922579470819976
2999,0,0.003881275974268461
3009,0,0.004179302479018321
3019,0,0.00602365923985787
3029,0,0.005522931811476117
3039,0,0.006544457507634827
3049,0,0.0062241917205816955
3059,0,0.006471783926227492
3069,0,0.005398457529953382
3079,0,0.004773929184142545
3089,0,0.004416261604647531
3099,0,0.004808682038524803
3109,0,0.005393533529656158
3119,0,0.004204343068315741
3129,0,0.003934060661080652
3139,0,0.005296981614101026
3149,0,0.0037057890820476613
3159,0,0.003965696073864322
3169,0,0.003129199515438885
3179,0,0.0040309171850845815
3189,0,0.004191869729373243
3199,0,0.0042784906512128296
3209,0,0.003970023390990729
3219,0,0.0020991570694803285
3229,0,0.0028707985445043382
3239,0,0.0036040480671957753
3249,0,0.00492643340075305
3259,0,0.004991558039101118
3269,0,0.0034499085206003977
3279,0,0.0025917669096929274
3289,0,0.0033684133888647327
3299,0,0.00433043946625461
3309,0,0.002171378388981293
3319,0,0.0028147102398977664
3329,0,0.0029634876808510846
3339,0,0.0016300230987007502
3349,0,0.0019946711131734185
3359,0,0.0024510174144696806
3369,0,0.0017877522399886714
3379,0,0.0009313954923982903
3389,0,0.0008597171742462661
3399,0,0.0017166683223733825
3409,0,0.0005124474181804617
3419,0,0.0010651942439616757
3429,0,0.0010687083257674423
3439,0,0.0014699164506560836
3449,0,0.002315457395222209
3459,0,0.0016065197374016682
3469,0,0.0020083133494506744
3479,0,0.0022389690965748388
3489,0,0.0030571254682350557
3499,0,0.0027793140619077894
3509,0,0.0038104875497208535
3519,0,0.004370978997069341
3529,0,0.003869160698217078
3539,0,0.004088701735305289
3549,0,0.0051184073479865755
3559,0,0.005521886459014136
3569,0,0.0046721265470295315
3579,0,0.0017597643674823193
3589,0,0.0023328065730761627
3599,0,0.002363714082825097
3609,0,0.0036035535820526654
3619,0,0.002358296896502743
3629,0,0.0020807948069268
3639,0,0.0028738576323076304
3649,0,0.0020165622050088428
3659,0,0.002101558018192895
3669,0,0.0025332647673790842
3679,0,0.0031732446383538893
3689,0,0.0029226720742467904
3699,0,0.0032336237880972174
3709,0,0.003123751628003213
3719,0,0.0027326709151067607
3729,0,0.0033734344153319995
3739,0,0.004378178790134024
3749,0,0.003999154634537816
3759,0,0.005161536037271819
3769,0,0.00205806699662453
3779,0,0.0013024152258502841
3789,0,0.002296390835569595
3799,0,0.0020041981675391063
3809,0,0.0013992572884741206
3819,0,0.0009036548187641991
3829,0,0.0015333018678273524
3839,0,0.002217173516003923
3849,0,0.001968734130881722
3859,0,0.0006687852359588686
3869,0,0.0016683721365572945
3879,0,0.0017960648693663983
3889,0,0.0016625191073869061
3899,0,0.0013253423050484936
3909,0,0.0023326018759235456
3919,0,0.0026914194354437093
