T,S,Score
999,0,-0.1240077018737793
1009,0,0.1806212067604065
1019,0,0.05255657434463501
1029,0,0.25404030084609985
1039,0,0.1735912561416626
1049,0,0.3612697720527649
1059,0,0.2811777591705322
1069,0,0.3116953372955322
1079,0,0.1931363344192505
1089,0,0.20886647701263428
1099,0,0.22088170051574707
1109,0,0.1546955406665802
1119,0,0.32333385944366455
1129,0,0.22421610355377197
1139,0,0.1734209656715393
1149,0,0.010092705488204956
1159,0,0.11164653301239014
1169,0,0.11815154552459717
1179,0,0.12091565132141113
1189,0,0.1883326768875122
1199,0,0.42194801568984985
1209,0,0.1385769546031952
1219,0,0.4549253582954407
1229,0,0.2924039959907532
1239,0,0.46225208044052124
1249,0,0.5439990162849426
1259,0,0.2970293164253235
1269,0,0.699424684047699
1279,0,0.6291058659553528
1289,0,0.2513198256492615
1299,0,0.34330183267593384
1309,0,0.2653117775917053
1319,0,0.41150808334350586
1329,0,0.45111948251724243
1339,0,0.5651054978370667
1349,0,0.4846482276916504
1359,0,0.5076273083686829
1369,0,0.6908213496208191
1379,0,0.33461081981658936
1389,0,0.5134309530258179
1399,0,0.3039148449897766
1409,0,0.27957457304000854
1419,0,0.2049310803413391
1429,0,0.24708431959152222
1439,0,0.19713878631591797
1449,0,0.17246854305267334
1459,0,0.015145719051361084
1469,0,0.045430541038513184
1479,0,0.3196789622306824
1489,0,0.07447078824043274
1499,0,0.2077060341835022
1509,0,0.10363501310348511
1519,0,0.10657396912574768
1529,0,0.2149863839149475
1539,0,0.17699158191680908
1549,0,0.2765175700187683
1559,0,0.08307906985282898
1569,0,0.24779069423675537
1579,0,0.20461562275886536
1589,0,0.19983458518981934
1599,0,0.06793713569641113
1609,0,0.304850697517395
1619,0,0.3577537536621094
1629,0,0.26774847507476807
1639,0,0.13026338815689087
1649,0,0.30540603399276733
1659,0,-0.01788845658302307
1669,0,0.03626924753189087
1679,0,-0.11345109343528748
1689,0,0.24461495876312256
1699,0,0.06973728537559509
1709,0,0.014020919799804688
1719,0,0.15950453281402588
1729,0,0.06955072283744812
1739,0,-0.009489327669143677
1749,0,0.18255242705345154
1759,0,0.0523492693901062
1769,0,-0.053967058658599854
1779,0,0.0879071056842804
1789,0,0.26841193437576294
1799,0,0.18916821479797363
1809,0,0.10100537538528442
1819,0,0.08390438556671143
1829,0,0.01865851879119873
1839,0,0.09701359272003174
1849,0,0.262443482875824
1859,0,0.20432496070861816
1869,0,0.35780787467956543
1879,0,0.37542420625686646
1889,0,0.28656697273254395
1899,0,0.04752311110496521
1909,0,0.07533305883407593
1919,0,0.28718340396881104
1929,0,0.27161842584609985
1939,0,0.37862157821655273
1949,0,0.227666437625885
1959,0,0.25128287076950073
1969,0,0.3595896363258362
1979,0,0.11928790807723999
1989,0,0.22385597229003906
1999,0,0.09100845456123352
2009,0,0.16174957156181335
2019,0,0.2888796329498291
2029,0,0.12196916341781616
2039,0,0.23734229803085327
2049,0,0.33786314725875854
2059,0,0.408061683177948
2069,0,0.18069303035736084
2079,0,0.17236262559890747
2089,0,0.1641533076763153
2099,0,0.173679918050766
2109,0,0.4628870487213135
2119,0,0.12876850366592407
2129,0,0.06418389081954956
2139,0,0.12686657905578613
2149,0,0.1303812861442566
2159,0,0.5284448862075806
2169,0,0.21346896886825562
2179,0,0.30638736486434937
2189,0,0.1956363320350647
2199,0,0.5312755107879639
2209,0,0.2513246536254883
2219,0,0.19308382272720337
2229,0,0.21385115385055542
2239,0,0.40315955877304077
2249,0,0.09171479940414429
2259,0,0.2436193823814392
2269,0,0.054678261280059814
2279,0,0.22915589809417725
2289,0,-0.15932801365852356
2299,0,0.4141838550567627
2309,0,0.253254771232605
2319,0,0.25931864976882935
2329,0,0.12175911664962769
2339,0,0.03951135277748108
2349,0,0.3148648142814636
2359,0,0.23204278945922852
2369,0,0.34370094537734985
2379,0,0.243022620677948
2389,0,0.43062663078308105
2399,0,0.15662556886672974
2409,0,0.5824990272521973
2419,0,0.6442003846168518
2429,0,0.27680307626724243
2439,0,0.1472846269607544
2449,0,0.46861088275909424
2459,0,0.21797722578048706
2469,0,0.18866920471191406
2479,0,-0.03132599592208862
2489,0,0.1383293867111206
