T,S,Score
999,0,-0.021356344
1009,0,0.1510495
1019,0,0.07878226
1029,0,-0.050620437
1039,0,-0.03920442
1049,0,-0.04974985
1059,0,0.09989703
1069,0,-0.11817706
1079,0,-0.12448901
1089,0,0.08916932
1099,0,-0.03733921
1109,0,0.064973235
1119,0,0.12160486
1129,0,0.07937759
1139,0,0.025203168
1149,0,0.043162346
1159,0,-0.19178843
1169,0,-0.06831211
1179,0,0.057858467
1189,0,0.08841413
1199,0,0.0056661367
1209,0,0.089110434
1219,0,0.14174587
1229,0,-0.112988174
1239,0,-0.1252951
1249,0,-0.031665385
1259,0,-0.07889795
1269,0,-0.16093016
1279,0,-0.13996828
1289,0,0.0018369555
1299,0,-0.091454566
1309,0,-0.114337325
1319,0,-0.02809292
1329,0,0.052801788
1339,0,0.0186072
1349,0,0.107449055
1359,0,-0.1175015
1369,0,-0.19173735
1379,0,-0.08332527
1389,0,-0.09379673
1399,0,-0.08190364
1409,0,-0.0026022196
1419,0,-0.24035853
1429,0,-0.15258116
1439,0,-0.13678885
1449,0,-0.22541088
1459,0,-0.08805311
1469,0,-0.06536245
1479,0,-0.014260888
1489,0,-0.13210624
1499,0,-0.18893456
1509,0,-0.06809121
1519,0,-0.11700213
1529,0,-0.20906746
1539,0,-0.094717264
1549,0,-0.06157607
1559,0,-0.010918438
1569,0,-0.09580648
1579,0,-0.1495074
1589,0,-0.0859139
1599,0,-0.15868115
1609,0,-0.03237617
1619,0,-0.03618884
1629,0,-0.06845677
1639,0,-0.06361771
1649,0,-0.07606459
1659,0,-0.08462137
1669,0,-0.14718306
1679,0,-0.16377878
1689,0,-0.01890409
1699,0,-0.09966111
1709,0,-0.224442
1719,0,0.040017545
1729,0,-0.16124511
1739,0,-0.03855616
1749,0,-0.19352114
1759,0,-0.07383317
1769,0,-0.08001596
1779,0,-0.05045569
1789,0,-0.12339687
1799,0,-0.0337134
1809,0,-0.15446532
1819,0,-0.14709473
1829,0,-0.013927221
1839,0,-0.09715235
1849,0,-0.08291125
1859,0,-0.16498893
1869,0,-0.035764813
1879,0,-0.03824824
1889,0,-0.0494771
1899,0,-0.048989296
1909,0,-0.02535975
1919,0,-0.07482302
1929,0,-0.22017998
1939,0,0.05620873
1949,0,-0.1431951
1959,0,-0.12358457
1969,0,-0.1555742
1979,0,0.08460921
1989,0,-0.019771278
1999,0,-0.01683867
2009,0,-0.0045481324
2019,0,-0.040946662
2029,0,-0.027329743
2039,0,-0.10326642
2049,0,0.11282253
2059,0,0.008902431
2069,0,-0.069280624
2079,0,0.07681656
2089,0,-0.11942351
2099,0,-0.105691016
2109,0,-0.038520217
2119,0,-0.13950521
2129,0,-0.051669776
2139,0,0.08461875
2149,0,0.031731904
2159,0,0.03518814
2169,0,-0.08927685
2179,0,0.020840526
2189,0,0.075338185
2199,0,-0.10803467
2209,0,0.011316657
2219,0,-0.06179601
2229,0,0.038159072
2239,0,0.09184086
2249,0,0.007910252
2259,0,0.076655865
2269,0,-0.11742097
2279,0,0.084035635
2289,0,0.043365896
2299,0,0.12449801
2309,0,0.115290046
2319,0,-0.14591146
2329,0,0.059010565
2339,0,-0.0885458
2349,0,0.1256203
2359,0,-0.095351994
2369,0,-0.033575118
2379,0,-0.05455184
2389,0,0.005994916
2399,0,-0.04011166
2409,0,0.091683626
2419,0,0.20810783
2429,0,0.15902853
2439,0,0.106480956
2449,0,0.021464765
2459,0,0.18634522
2469,0,0.29952896
2479,0,0.15876812
2489,0,0.4515285
2499,0,0.25553012
2509,0,0.22824532
2519,0,0.442752
2529,0,0.8191846
2539,0,0.6035248
2549,0,0.8453151
2559,0,0.58303714
2569,0,0.8905439
2579,0,0.8769508
2589,0,0.6640746
2599,0,0.47014064
2609,0,0.7353971
2619,0,0.6448508
2629,0,0.87505543
2639,0,0.67721
2649,0,0.62644094
2659,0,0.63746643
2669,0,0.86312556
2679,0,0.74440736
2689,0,0.8004954
2699,0,0.8131722
2709,0,0.81979215
2719,0,0.7234378
2729,0,0.90642637
2739,0,0.8625315
2749,0,0.5332749
2759,0,0.92540234
2769,0,0.6451024
2779,0,0.82734835
2789,0,0.77002156
2799,0,0.69008434
2809,0,0.6860351
2819,0,0.5094177
2829,0,0.6266096
2839,0,0.43290442
2849,0,0.82518834
2859,0,0.67151386
2869,0,0.51017404
2879,0,0.7906651
2889,0,0.49037522
2899,0,0.30127633
2909,0,0.17315835
2919,0,0.20509845
2929,0,0.254117
2939,0,0.27442676
2949,0,0.12768793
2959,0,0.22937667
2969,0,0.278655
2979,0,0.17291433
2989,0,0.038865387
2999,0,0.06914973
3009,0,0.015687108
3019,0,0.09932327
3029,0,0.12677652
3039,0,0.061144054
