T,S,Score
999,0,0.24705428
1009,0,-0.21141356
1019,0,-0.2264365
1029,0,-0.11077869
1039,0,-0.20716941
1049,0,-0.11533296
1059,0,-0.051410973
1069,0,-0.032940626
1079,0,0.022912085
1089,0,-0.011026144
1099,0,-0.11065167
1109,0,-0.05316508
1119,0,-0.025215566
1129,0,0.023376882
1139,0,0.15319407
1149,0,0.10555136
1159,0,0.16381001
1169,0,0.19509214
1179,0,0.3435052
1189,0,0.24569845
1199,0,0.3772384
1209,0,0.20968765
1219,0,0.17943221
1229,0,0.47488266
1239,0,0.3623315
1249,0,0.27979618
1259,0,0.5400107
1269,0,0.6399079
1279,0,0.13054746
1289,0,0.563725
1299,0,0.41213113
1309,0,0.22819203
1319,0,0.48237497
1329,0,0.45005077
1339,0,0.34957874
1349,0,0.06985754
1359,0,0.05974412
1369,0,0.35519677
1379,0,0.47299212
1389,0,0.047062695
1399,0,0.23607558
1409,0,0.24420083
1419,0,0.37854642
1429,0,0.56184226
1439,0,0.039720416
1449,0,0.34972495
1459,0,0.35910904
1469,0,0.19145799
1479,0,0.04284364
1489,0,0.48656815
1499,0,0.50363797
1509,0,0.30679083
1519,0,0.39140546
1529,0,0.48618078
1539,0,0.3503511
1549,0,0.3087275
1559,0,0.8356176
1569,0,0.20987171
1579,0,0.12553704
1589,0,-0.08983606
1599,0,0.31126994
1609,0,0.03768599
1619,0,-0.031660676
1629,0,-0.3186593
1639,0,-0.18517482
1649,0,-0.23227626
1659,0,-0.079380274
1669,0,-0.112956524
1679,0,-0.0294801
1689,0,-0.15064347
1699,0,-0.08207643
1709,0,-0.27947152
1719,0,-0.27638644
1729,0,0.049450934
1739,0,-0.11947763
1749,0,-0.25719374
1759,0,0.057576537
1769,0,0.05222714
1779,0,-0.23552102
1789,0,-0.1467871
1799,0,-0.18709773
1809,0,-0.028105617
1819,0,0.11752725
1829,0,-0.13261145
1839,0,-0.10518265
1849,0,-0.23406452
1859,0,0.06483197
1869,0,0.14765006
1879,0,0.05071926
1889,0,-0.02067256
1899,0,0.02658081
1909,0,-0.14747071
1919,0,-0.32028657
1929,0,-0.17110324
1939,0,-0.05583471
1949,0,0.26916105
1959,0,-0.054813504
1969,0,-0.007382095
1979,0,0.16456258
1989,0,-0.011078417
1999,0,0.21298558
2009,0,0.31183338
2019,0,0.0555858
2029,0,0.0278821
2039,0,-0.26043725
2049,0,0.087183535
2059,0,0.18070382
2069,0,0.06575203
2079,0,-0.020910501
2089,0,0.18563974
2099,0,0.120523155
2109,0,-0.02001667
2119,0,-0.040916443
2129,0,0.006663561
2139,0,0.10316074
2149,0,-0.18731833
2159,0,-0.09503329
2169,0,-0.07773727
2179,0,0.03025651
2189,0,-0.17472535
2199,0,-0.13880056
2209,0,-0.2812484
2219,0,-0.3124289
2229,0,-0.18823433
2239,0,0.026021183
2249,0,-0.12525159
2259,0,0.11705315
2269,0,-0.09507203
2279,0,-0.026227832
2289,0,0.02119428
2299,0,-0.25332427
2309,0,0.06229025
2319,0,-0.11811662
2329,0,0.065300286
2339,0,0.4341231
2349,0,0.103045404
2359,0,0.24306941
2369,0,-0.20388216
2379,0,0.07164478
2389,0,-0.23000944
2399,0,-0.11743075
2409,0,-0.055931926
2419,0,0.112534404
2429,0,-0.016599298
2439,0,-0.1477027
2449,0,-0.14888823
2459,0,-0.095240295
2469,0,0.13198173
2479,0,-0.10724157
2489,0,0.008558035
2499,0,-0.009328246
2509,0,0.07379401
2519,0,-0.10632855
