T,S,Score
999,0,0.8530982773744652
1009,0,0.7170689221706896
1019,0,0.7288900254850332
1029,0,0.7613591642667084
1039,0,0.7949052734560157
1049,0,0.8014388302168858
1059,0,0.9354123124841002
1069,0,1.044617206435545
1079,0,0.9646734386859217
1089,0,0.9437613785185204
1099,0,0.9702999553619043
1109,0,0.9683255692627433
1119,0,1.1688089130550374
1129,0,1.045651749310253
1139,0,1.1507756136546967
1149,0,1.041742863548
1159,0,1.108710217291374
1169,0,1.225079704806729
1179,0,1.2103004045441128
1189,0,1.155198312514626
1199,0,1.0686517344184254
1209,0,0.996391040952021
1219,0,1.1906986448439925
1229,0,1.165616435677658
1239,0,1.2973288887202499
1249,0,1.3052523153842068
1259,0,1.3435639045836079
1269,0,1.2801130679072579
1279,0,1.2085217609702656
1289,0,1.4010524777053315
1299,0,1.2410369387453375
1309,0,1.2540644413762019
1319,0,1.1859934095162927
1329,0,1.1735335636408226
1339,0,1.1399768858971264
1349,0,1.0735920982955385
1359,0,1.0075731569741735
1369,0,0.9593382636828294
1379,0,0.9596257560252619
1389,0,0.8859470938877447
1399,0,0.8720773773639711
1409,0,0.8754601649046713
1419,0,1.0154891247778917
1429,0,0.9943216990906537
1439,0,1.0528953416830529
1449,0,1.1380124944894454
1459,0,1.178525625402565
1469,0,1.1480416213411004
1479,0,1.312772326999057
1489,0,1.375104637840522
1499,0,1.4582846695158658
1509,0,1.4420103450845185
1519,0,1.4188889746676652
1529,0,1.4556960382096469
1539,0,1.4135203404745744
1549,0,1.3185584846806246
1559,0,1.3608403520114
1569,0,1.4317915372992112
1579,0,1.4343409285080777
1589,0,1.483673020104054
1599,0,1.3644856487961687
1609,0,1.4841897160266477
1619,0,1.6366741976846892
1629,0,1.5397283293912238
1639,0,1.5754245172218824
1649,0,1.5520919603055132
1659,0,1.4649506790967484
1669,0,1.6148115527278453
1679,0,1.6238943343257788
1689,0,1.6200395049341478
1699,0,1.621102773305173
1709,0,1.521855072864927
1719,0,1.5559519446441197
1729,0,1.6574042053691784
1739,0,1.5716793213713194
1749,0,1.720307871480548
1759,0,1.8054411286693468
1769,0,1.8291423203292043
1779,0,2.0417979360965286
1789,0,1.8996028813402717
1799,0,1.9245493045684723
1809,0,1.9641968641946324
1819,0,2.1111377482645635
1829,0,2.162078518588057
1839,0,2.36497155584563
1849,0,2.237933563599669
1859,0,2.3965802538562864
1869,0,2.1699030106816073
1879,0,2.148788904309627
1889,0,2.1282351816297234
1899,0,2.0333578528111653
1909,0,2.051311299175395
1919,0,2.2511978134807697
1929,0,2.3135574424004686
1939,0,2.444201169302109
1949,0,2.7018762905060316
1959,0,2.9316260588027676
1969,0,3.2704490699417104
1979,0,3.400402362586286
1989,0,3.5562698991579245
1999,0,3.3259663092062293
2009,0,3.2593399837117056
2019,0,3.1031911793214233
2029,0,3.049835540050016
2039,0,2.8787573092528023
2049,0,2.8496692978822034
2059,0,2.618964608076275
2069,0,2.346898396592767
2079,0,2.389184325853294
2089,0,2.368559080760802
2099,0,2.394858148541525
2109,0,2.163189774600549
2119,0,2.1135842405227017
2129,0,2.1163550299782505
2139,0,1.9965421838777118
2149,0,1.9546473838065666
2159,0,1.858347746879801
2169,0,1.9551167725078575
2179,0,1.9039385052052866
2189,0,1.7625903735635242
2199,0,1.6841984760872153
2209,0,1.660854185708527
2219,0,1.690302536136544
2229,0,1.729146604051927
2239,0,1.7637703978398704
2249,0,1.695232485982833
2259,0,1.497090782994902
2269,0,1.727022302355845
2279,0,1.8642200946519676
2289,0,1.7550259357885005
2299,0,1.7004019204652008
2309,0,1.8405037982639774
2319,0,1.8922878620578285
2329,0,1.9481813965737056
2339,0,1.8415899846862356
2349,0,1.8822565869438572
2359,0,1.9510229985533298
2369,0,1.914787532498623
2379,0,1.8479543404723024
2389,0,2.0850429348594526
2399,0,1.938719384275174
2409,0,2.0112605703422117
2419,0,1.9338589215352033
2429,0,1.9162447093588137
2439,0,2.038055629478384
2449,0,2.171475732182121
2459,0,2.4719439513239867
2469,0,2.480994032525591
2479,0,2.659719187111425
2489,0,2.801122208119354
2499,0,2.6820759943944514
2509,0,2.4100363467475523
2519,0,2.4730682814638456
2529,0,2.3755024628592643
2539,0,2.372549071348689
2549,0,2.2899203359566327
