T,S,Score
999,0,0.059791327
1009,0,0.28008622
1019,0,0.15401202
1029,0,0.020200849
1039,0,0.13438535
1049,0,0.006553471
1059,0,0.20880097
1069,0,0.15154219
1079,0,0.23560286
1089,0,0.0855118
1099,0,0.0056216717
1109,0,-0.001080513
1119,0,-0.033561468
1129,0,-0.1746391
1139,0,-0.18183261
1149,0,-0.20981032
1159,0,-0.17939109
1169,0,-0.24610102
1179,0,-0.49191898
1189,0,-0.3908379
1199,0,-0.20115513
1209,0,-0.22626412
1219,0,-0.06260657
1229,0,0.027976274
1239,0,-0.15121573
1249,0,-0.06790668
1259,0,0.0898816
1269,0,-0.14325929
1279,0,-0.080640376
1289,0,-0.11438197
1299,0,0.046140254
1309,0,-0.11398226
1319,0,-0.03599429
1329,0,0.030546606
1339,0,-0.11594403
1349,0,0.08063477
1359,0,0.046828806
1369,0,0.054288328
1379,0,-0.036928177
1389,0,0.3037811
1399,0,0.3687871
1409,0,0.14740276
1419,0,0.1801852
1429,0,0.109224916
1439,0,0.031595528
1449,0,0.06375897
1459,0,0.07540274
1469,0,0.13397932
1479,0,0.1283428
1489,0,0.34321153
1499,0,0.62617505
1509,0,0.67576706
1519,0,0.7082672
1529,0,0.2879104
1539,0,0.72826475
1549,0,0.65502065
1559,0,0.7035777
1569,0,0.6134019
1579,0,0.69250894
1589,0,0.83374226
1599,0,0.90048766
1609,0,0.6677091
1619,0,0.8131214
1629,0,0.8174879
1639,0,0.58926046
1649,0,0.6268508
1659,0,0.60864663
1669,0,0.7050648
1679,0,0.545268
1689,0,0.6845113
1699,0,0.6801942
1709,0,0.64164853
1719,0,0.6049837
1729,0,0.64955103
1739,0,0.41397113
1749,0,0.43154657
1759,0,0.3716861
1769,0,0.39255947
1779,0,0.3125472
1789,0,0.35125756
1799,0,0.08755815
1809,0,0.39411777
1819,0,0.37843883
1829,0,0.2231763
1839,0,0.21171176
1849,0,-0.06619406
1859,0,0.1648745
1869,0,-0.010459542
1879,0,0.032866776
1889,0,0.19119728
1899,0,0.16184646
1909,0,0.10881877
1919,0,0.021131992
1929,0,0.12053156
1939,0,0.21639615
1949,0,0.18892837
1959,0,0.09280115
1969,0,0.12990844
1979,0,0.063123584
1989,0,0.12709183
1999,0,0.26687485
2009,0,0.56126606
2019,0,0.23312318
2029,0,0.4185303
2039,0,0.5430937
2049,0,0.1986072
2059,0,0.46199214
2069,0,0.118147075
2079,0,0.5611374
2089,0,0.2932694
2099,0,0.29528695
2109,0,0.09041113
2119,0,0.10111624
2129,0,0.18085057
2139,0,0.23031741
2149,0,0.23635197
2159,0,0.19573992
2169,0,0.12423122
2179,0,0.044213712
2189,0,0.09344447
2199,0,-0.013390899
2209,0,0.049453735
2219,0,0.25243837
2229,0,0.19281346
2239,0,0.27871388
2249,0,-0.003266871
2259,0,0.025373518
2269,0,-0.11905271
2279,0,-0.07984984
2289,0,-0.010251939
2299,0,-0.0008651614
2309,0,-0.007245183
2319,0,-0.044777274
2329,0,-0.12747914
2339,0,-0.21884906
2349,0,-0.02536416
2359,0,-0.033090472
2369,0,-0.11972976
2379,0,0.081321776
2389,0,0.17106313
2399,0,0.047681034
2409,0,0.27733392
2419,0,0.118695796
2429,0,0.25105745
2439,0,0.2966032
2449,0,0.4876256
2459,0,0.33929616
2469,0,0.2453376
2479,0,0.39888644
2489,0,0.42288083
2499,0,0.41977227
2509,0,0.40161425
2519,0,0.18944871
2529,0,0.16598594
2539,0,0.17570531
2549,0,0.3086987
2559,0,0.42438143
2569,0,0.33403766
2579,0,0.27558166
2589,0,0.4606014
2599,0,0.68271726
2609,0,0.6390553
2619,0,0.4793244
2629,0,0.36957508
2639,0,0.56029034
2649,0,0.6567225
2659,0,0.7156919
2669,0,0.8266931
2679,0,0.65964764
2689,0,0.68000424
2699,0,0.6787239
2709,0,0.8007951
2719,0,0.81273913
2729,0,0.73899937
2739,0,0.79106325
2749,0,0.70987093
2759,0,0.84693676
2769,0,0.8396618
2779,0,0.84395266
2789,0,0.7222522
2799,0,0.470057
2809,0,0.35743678
2819,0,0.6365308
2829,0,0.32312983
2839,0,0.288648
2849,0,0.10115415
2859,0,0.058532298
2869,0,0.24008232
2879,0,0.22997916
2889,0,0.2641031
2899,0,0.21561515
2909,0,0.27900267
2919,0,0.04622364
2929,0,0.3203864
2939,0,0.056525886
2949,0,0.20746976
2959,0,0.04075837
2969,0,-0.15573657
2979,0,-0.0018936396
2989,0,0.07178885
2999,0,-0.04630339
3009,0,0.02800411
3019,0,-0.12992108
3029,0,-0.06013477
3039,0,-0.20746523
3049,0,-0.2052474
3059,0,-0.13129175
3069,0,-0.082292736
3079,0,-0.047634542
3089,0,-0.000988543
3099,0,0.08521968
3109,0,0.0050040483
3119,0,0.015555799
3129,0,-0.04795897
3139,0,0.027784526
3149,0,0.12121832
3159,0,-0.07826221
3169,0,0.0037007928
3179,0,0.092706144
3189,0,0.114420414
3199,0,0.036483586
3209,0,0.10323852
3219,0,0.1837191
3229,0,-0.084996164
3239,0,0.10439736
3249,0,-0.1112147
3259,0,0.1437214
3269,0,0.07511002
3279,0,0.029388368
3289,0,-0.067053676
3299,0,-0.10916489
3309,0,-0.05833441
3319,0,-0.023040354
3329,0,-0.005411625
3339,0,0.09083462
3349,0,0.068683386
3359,0,0.17221695
3369,0,0.21086746
3379,0,0.31985277
3389,0,0.0813297
3399,0,0.23079127
3409,0,0.2814635
3419,0,0.17217016
3429,0,0.3062929
3439,0,0.27781785
3449,0,0.22401357
3459,0,0.3344465
3469,0,0.16785026
3479,0,0.18153197
3489,0,0.22715944
3499,0,0.029850245
3509,0,0.10704255
3519,0,-0.0137555
3529,0,-0.043595195
3539,0,-0.11394662
3549,0,-0.069848716
3559,0,-0.03573209
3569,0,-0.19347453
3579,0,-0.22731084
3589,0,-0.21107572
3599,0,-0.14564997
3609,0,-0.19057828
3619,0,0.008213818
3629,0,0.06997424
3639,0,0.089825094
3649,0,0.061599255
3659,0,0.20125562
3669,0,0.28819567
3679,0,0.5623826
3689,0,0.7113512
3699,0,0.58284265
3709,0,0.7752861
3719,0,0.89048755
3729,0,1.1340961
3739,0,1.1333567
3749,0,1.2338059
3759,0,1.2825382
3769,0,1.2712547
3779,0,1.5521002
3789,0,1.6139019
3799,0,2.0174928
3809,0,2.1438942
3819,0,2.0052485
3829,0,2.2248538
3839,0,2.5762305
3849,0,2.3287516
3859,0,2.9067762
3869,0,2.9548023
3879,0,3.1642125
3889,0,3.1797495
3899,0,3.4442925
3909,0,3.1545074
3919,0,3.384046
3929,0,3.4694068
3939,0,3.5600648
3949,0,3.8447766
3959,0,3.8431885
3969,0,3.8624866
3979,0,3.935978
3989,0,4.1410475
3999,0,4.0743036
4009,0,4.3447237
4019,0,4.108998
4029,0,3.939374
4039,0,3.7610207
4049,0,3.59063
4059,0,3.2967744
4069,0,3.2259088
4079,0,3.057266
4089,0,3.0480866
4099,0,2.6081529
4109,0,2.194543
4119,0,1.8320733
4129,0,1.7687043
4139,0,1.8143764
4149,0,1.1853247
4159,0,0.9006724
4169,0,0.60501915
4179,0,0.5392002
4189,0,0.33528018
4199,0,0.14327317
4209,0,0.37279463
4219,0,0.15741843
4229,0,-0.017260492
4239,0,-0.19471109
4249,0,-0.18380988
4259,0,-0.057064652
4269,0,-0.07478768
4279,0,-0.19528216
4289,0,-0.14062947
4299,0,0.12404394
4309,0,0.14747453
4319,0,0.42936134
4329,0,0.454803
4339,0,0.718683
4349,0,0.8645554
4359,0,1.2377133
4369,0,1.3306432
