T,S,Score
399,0.0,1.9661549110210381
409,0.0,1.7524541429783418
419,0.0,1.829813204498822
429,0.0,2.0106712611177295
439,0.0,2.135556778181761
449,0.0,2.123034224774806
459,0.0,1.8869266149392776
469,0.0,1.7625977910896162
479,0.0,1.8961777727108065
489,0.0,2.088297079146819
499,0.0,1.910590161449007
509,0.0,1.9882935459508482
519,0.0,1.9518356575422828
529,0.0,1.6220991551937614
539,0.0,1.8574572322265317
549,0.0,1.549498972660026
559,0.0,1.5966781832177241
569,0.0,1.9712754529999315
579,0.0,1.9228480286182514
589,0.0,2.0741029023393023
599,0.0,1.9674970981895896
609,0.0,2.206207242905837
619,0.0,2.193350157786476
629,0.0,2.427698587057236
639,0.0,2.069140318139167
649,0.0,2.022843964483795
659,0.0,2.153944285844973
669,0.0,2.5295925684488942
679,0.0,2.084307899834654
689,0.0,1.6356419154955328
699,0.0,1.775904054482542
709,0.0,1.6819847162179766
719,0.0,1.8456009917046328
729,0.0,1.7321431266487273
739,0.0,1.7651012752562716
749,0.0,1.938755023939486
759,0.0,1.8095845901430636
769,0.0,1.8897789343477465
779,0.0,1.5638078818618775
789,0.0,1.7367406297696393
799,0.0,1.9354657762799479
809,0.0,1.8189340540597054
819,0.0,1.6816460777891002
829,0.0,1.4048544920081645
839,0.0,1.3114102954548261
849,0.0,1.6982614811002203
859,0.0,1.7844453708096943
869,0.0,1.5732227553242952
879,0.0,1.51607494275111
889,0.0,1.489432724383486
899,0.0,1.645357817116496
909,0.0,1.5222697901139866
919,0.0,1.4727767856600888
929,0.0,1.5822153685250275
939,0.0,1.8439143728442304
949,0.0,1.7703581441531762
959,0.0,1.561391421149789
969,0.0,1.4874779806629297
979,0.0,1.702091648102726
989,0.0,1.8535634065019926
999,0.0,2.2551557622822704
1009,0.0,2.0368814530611914
1019,0.0,1.4300585510037884
1029,0.0,1.4916310677088604
1039,0.0,1.9527408558545554
1049,0.0,1.9449537263086594
1059,0.0,2.0642196463191445
1069,0.0,1.902970805067412
1079,0.0,1.9177493898477358
1089,0.0,2.0827285333109504
1099,0.0,1.7238232079791167
1109,0.0,1.8430887406725591
1119,0.0,2.207659069272652
1129,0.0,2.218954484263976
1139,0.0,2.7567220920229527
1149,0.0,2.8861638857165657
1159,0.0,2.196132710978518
1169,0.0,2.3113076640007435
1179,0.0,2.3106271224157897
1189,0.0,2.3027848875557915
1199,0.0,2.2351990579642975
1209,0.0,2.0411868887078986
1219,0.0,2.014898615500112
1229,0.0,1.9401845012273184
1239,0.0,1.5669843840296909
