T,S,Score
399,0.0,0.09558368
409,0.0,0.42556822
419,0.0,-0.11328268
429,0.0,0.0517143
439,0.0,0.5159269
449,0.0,0.5125141
459,0.0,0.47084558
469,0.0,0.5409821
479,0.0,0.633974
489,0.0,0.5491401
499,0.0,1.0412438
509,0.0,0.1579181
519,0.0,0.52353454
529,0.0,-0.30319655
539,0.0,0.27491736
549,0.0,0.4661662
559,0.0,0.075918436
569,0.0,0.20955205
579,0.0,-0.076913476
589,0.0,-0.08652377
599,0.0,-0.2518139
609,0.0,-0.23504567
619,0.0,0.038468838
629,0.0,-0.55339813
639,0.0,-0.65989363
649,0.0,-0.1263293
659,0.0,-0.21169734
669,0.0,0.16202939
679,0.0,1.0472727
689,0.0,0.16144705
699,0.0,0.30104506
709,0.0,0.6763794
719,0.0,0.9339614
729,0.0,0.22912669
739,0.0,0.50428534
749,0.0,0.17451799
759,0.0,0.6828305
769,0.0,0.3305211
779,0.0,-0.18218958
789,0.0,-0.11150873
799,0.0,0.06461072
809,0.0,-0.042270064
819,0.0,0.10785043
829,0.0,-0.38976836
839,0.0,0.5574778
849,0.0,-0.29208887
859,0.0,0.3803932
869,0.0,0.67071074
879,0.0,0.081540704
889,0.0,0.7686007
899,0.0,0.8177769
909,0.0,0.7219845
919,0.0,0.63519204
929,0.0,0.5128951
939,0.0,-0.23451853
949,0.0,0.25019777
959,0.0,0.2258966
969,0.0,-0.48474467
979,0.0,-0.07646179
989,0.0,0.45849073
999,0.0,0.02049911
1009,0.0,0.094210744
1019,0.0,0.6436562
1029,0.0,0.44913805
1039,0.0,0.6298001
1049,0.0,0.886572
1059,0.0,0.9448589
1069,0.0,2.0559928
1079,0.0,1.0207856
1089,0.0,1.056664
1099,0.0,1.2692614
1109,0.0,0.044952273
1119,0.0,-0.00071686506
1129,0.0,-0.3251511
1139,0.0,-0.23706454
1149,0.0,0.18749917
1159,0.0,0.25937843
1169,0.0,0.4643507
1179,0.0,0.70386446
1189,0.0,1.1025426
1199,0.0,2.0203943
1209,0.0,2.0263815
1219,0.0,1.3681285
1229,0.0,1.5538018
1239,0.0,2.421633
1249,0.0,1.7308258
