T,S,X0
0,0.0,68800.11
1,0.0,68872.39
2,0.0,68906.12
3,0.0,68859.14
4,0.0,68850.836
5,0.0,68873.59
6,0.0,68865.83
7,0.0,68825.82
8,0.0,68835.21
9,0.0,68830.07
10,0.0,68862.65
11,0.0,68847.19
12,0.0,68860.336
13,0.0,68869.484
14,0.0,68893.9
15,0.0,68871.984
16,0.0,68829.28
17,0.0,68902.4
18,0.0,68830.65
19,0.0,68839.01
20,0.0,68879.98
21,0.0,68924.52
22,0.0,68775.18
23,0.0,68810.57
24,0.0,68812.09
25,0.0,68871.87
26,0.0,68886.24
27,0.0,68781.94
28,0.0,68826.79
29,0.0,68857.234
30,0.0,68840.4
31,0.0,68873.62
32,0.0,68975.16
33,0.0,68866.695
34,0.0,68945.625
35,0.0,68875.04
36,0.0,68903.805
37,0.0,68767.9
38,0.0,68872.35
39,0.0,68895.875
40,0.0,68833.79
41,0.0,68736.48
42,0.0,68922.555
43,0.0,68843.44
44,0.0,68782.44
45,0.0,68744.01
46,0.0,68876.695
47,0.0,68798.21
48,0.0,68844.53
49,0.0,68885.75
50,0.0,68866.164
51,0.0,68807.766
52,0.0,68832.48
53,0.0,68856.95
54,0.0,68890.7
55,0.0,68896.72
56,0.0,68820.58
57,0.0,68865.52
58,0.0,68907.195
59,0.0,68885.26
60,0.0,68926.97
61,0.0,68878.836
62,0.0,68840.3
63,0.0,68915.8
64,0.0,68915.82
65,0.0,68789.39
66,0.0,68890.74
67,0.0,68815.28
68,0.0,68799.75
69,0.0,68885.62
70,0.0,68813.15
71,0.0,68809.22
72,0.0,68875.51
73,0.0,68883.48
74,0.0,68913.59
75,0.0,68777.516
76,0.0,68778.3
77,0.0,68884.09
78,0.0,68817.43
79,0.0,68890.28
80,0.0,68866.445
81,0.0,68814.64
82,0.0,68818.79
83,0.0,68874.305
84,0.0,68848.3
85,0.0,68913.96
86,0.0,68764.516
87,0.0,68832.93
88,0.0,68776.086
89,0.0,68858.0
90,0.0,68884.914
91,0.0,68885.33
92,0.0,68777.945
93,0.0,68832.414
94,0.0,68751.77
95,0.0,68862.4
96,0.0,68816.61
97,0.0,68931.914
98,0.0,68942.13
99,0.0,68818.58
100,0.0,68893.46
101,0.0,68905.87
102,0.0,68889.07
103,0.0,68929.766
104,0.0,68833.805
105,0.0,68868.26
106,0.0,68769.875
107,0.0,68916.336
108,0.0,68969.73
109,0.0,68775.414
110,0.0,68786.03
111,0.0,68833.3
112,0.0,68852.57
113,0.0,68880.53
114,0.0,68882.91
115,0.0,68796.64
116,0.0,68843.055
117,0.0,68812.93
118,0.0,68818.0
119,0.0,68890.86
