T,S,Score
399,0.0,-0.38962787
409,0.0,-0.64956087
419,0.0,-0.34688443
429,0.0,-0.5574819
439,0.0,-0.6654046
449,0.0,-0.77589345
459,0.0,-0.21545559
469,0.0,-0.0227682
479,0.0,-0.08188766
489,0.0,-0.31411558
499,0.0,0.19255471
509,0.0,0.029511452
519,0.0,0.05391252
529,0.0,0.52835196
539,0.0,0.39630717
549,0.0,0.9941048
559,0.0,0.5600755
569,0.0,0.61864763
579,0.0,-0.055597782
589,0.0,0.2920022
599,0.0,0.35390353
609,0.0,0.2592008
619,0.0,0.3177746
629,0.0,-0.085654914
639,0.0,0.109717965
649,0.0,0.32975918
659,0.0,-0.08217895
669,0.0,-0.07964027
679,0.0,-0.39204466
689,0.0,-0.32182962
699,0.0,-0.12099165
709,0.0,-0.043451607
719,0.0,0.25480032
729,0.0,-0.0138472915
739,0.0,-0.23089784
749,0.0,0.033006072
759,0.0,-0.034393787
769,0.0,0.18308717
779,0.0,0.23582423
789,0.0,0.2594568
799,0.0,0.53748775
809,0.0,0.581865
819,0.0,0.45807517
829,0.0,0.56627613
839,0.0,0.3456207
849,0.0,0.29780912
859,0.0,-0.06560463
869,0.0,0.07075471
879,0.0,-0.4718665
889,0.0,-0.13975346
899,0.0,0.07523483
909,0.0,0.0536018
919,0.0,-0.45998067
929,0.0,-0.65473664
939,0.0,-0.17580956
949,0.0,-0.2674824
959,0.0,-0.21760309
969,0.0,-0.085879326
979,0.0,-0.33615118
989,0.0,-0.13066977
999,0.0,0.1270383
1009,0.0,0.53311116
1019,0.0,0.30640864
1029,0.0,0.30065453
1039,0.0,0.7999276
1049,0.0,0.29966784
1059,0.0,0.2500667
1069,0.0,-0.2859339
1079,0.0,0.05190903
1089,0.0,-0.24752957
1099,0.0,0.26560336
1109,0.0,0.05737531
1119,0.0,0.07486963
1129,0.0,0.053453505
1139,0.0,-0.47180897
1149,0.0,-0.09652376
1159,0.0,-0.46305698
1169,0.0,-0.21053082
1179,0.0,0.11251861
1189,0.0,-0.095938504
1199,0.0,-0.09515262
1209,0.0,0.31237268
1219,0.0,0.04893583
1229,0.0,0.12178826
1239,0.0,0.007190764
1249,0.0,-0.0018283725
1259,0.0,-0.23111409
1269,0.0,0.40808654
1279,0.0,0.46510702
1289,0.0,0.021066785
1299,0.0,0.39108163
1309,0.0,0.7592954
1319,0.0,0.8323299
1329,0.0,0.6962386
1339,0.0,0.7485518
1349,0.0,0.79498667
1359,0.0,0.79367006
1369,0.0,0.76147807
1379,0.0,0.4561398
1389,0.0,0.4171155
1399,0.0,0.24935722
1409,0.0,0.10069734
1419,0.0,0.117308974
1429,0.0,-0.30201066
1439,0.0,-0.23199254
1449,0.0,-0.50553334
1459,0.0,-0.083171844
1469,0.0,0.19307637
1479,0.0,0.17291945
1489,0.0,0.31013483
1499,0.0,0.2840742
1509,0.0,0.22968894
1519,0.0,0.17814559
1529,0.0,-0.01571238
1539,0.0,0.4986865
1549,0.0,0.2371592
1559,0.0,0.6913169
1569,0.0,0.66046023
1579,0.0,-0.13741434
1589,0.0,-0.2758901
1599,0.0,-0.4249795
1609,0.0,-0.37097597
1619,0.0,-0.4966311
1629,0.0,-0.2469557
1639,0.0,-0.2048431
1649,0.0,-0.24926746
1659,0.0,-0.34857696
1669,0.0,-0.020850956
1679,0.0,-0.6533473
1689,0.0,-0.2245456
1699,0.0,-0.113266885
1709,0.0,-0.22683305
1719,0.0,-0.1306293
1729,0.0,-0.1787417
1739,0.0,0.2548517
1749,0.0,0.43911064
1759,0.0,-0.26289076
1769,0.0,-0.4074247
1779,0.0,-0.5469154
1789,0.0,-0.33210796
1799,0.0,-0.20073462
1809,0.0,-0.21717966
1819,0.0,-0.40302044
1829,0.0,-0.44330448
1839,0.0,-0.28720933
1849,0.0,-0.20326877
1859,0.0,0.6434584
1869,0.0,0.4409657
